category,city_id,city_name,poi_num
热门城市,257,广州市,90
热门城市,289,上海市,35
热门城市,138,佛山市,39
热门城市,75,成都市,15
热门城市,119,东莞市,13
热门城市,197,清远市,10
广东省,139,茂名市,7
广东省,198,湛江市,7
广东省,301,惠州市,6
广东省,140,珠海市,4
广东省,141,梅州市,3
广东省,340,深圳市,3
广东省,338,肇庆市,3
广东省,201,潮州市,2
广东省,199,阳江市,2
广东省,258,云浮市,2
广东省,187,中山市,2
广东省,200,河源市,1
广东省,259,揭阳市,1
广东省,303,汕头市,1
广东省,137,韶关市,1
内蒙古自治区,169,巴彦淖尔市,8
内蒙古自治区,229,包头市,6
内蒙古自治区,321,呼和浩特市,6
内蒙古自治区,283,鄂尔多斯市,3
内蒙古自治区,123,乌海市,3
内蒙古自治区,168,乌兰察布市,1
内蒙古自治区,63,锡林郭勒盟,1
山东省,236,青岛市,7
山东省,287,潍坊市,6
山东省,326,烟台市,4
山东省,354,淄博市,2
山东省,174,东营市,1
山东省,353,菏泽市,1
山东省,288,济南市,1
山东省,366,聊城市,1
山东省,175,威海市,1
山东省,172,枣庄市,1
江苏省,348,常州市,5
江苏省,224,苏州市,5
江苏省,346,扬州市,5
江苏省,317,无锡市,2
江苏省,316,徐州市,2
江苏省,162,淮安市,1
江苏省,347,连云港市,1
江苏省,315,南京市,1
江苏省,161,南通市,1
浙江省,179,杭州市,7
浙江省,178,温州市,4
浙江省,333,金华市,3
浙江省,180,宁波市,3
浙江省,292,丽水市,2
浙江省,294,湖州市,1
浙江省,293,绍兴市,1
浙江省,244,台州市,1
浙江省,245,舟山市,1
福建省,300,福州市,5
福建省,133,南平市,3
福建省,194,厦门市,3
福建省,195,莆田市,2
福建省,134,泉州市,2
福建省,254,三明市,2
河南省,210,开封市,3
河南省,153,洛阳市,3
河南省,268,郑州市,3
河南省,154,商丘市,2
河南省,152,新乡市,2
河南省,267,安阳市,1
河南省,309,南阳市,1
河南省,269,驻马店市,1
河北省,149,沧州市,4
河北省,207,承德市,2
河北省,150,石家庄市,2
河北省,265,唐山市,2
河北省,266,邢台市,2
河北省,307,保定市,1
河北省,208,衡水市,1
河北省,191,廊坊市,1
湖北省,218,武汉市,8
湖北省,311,黄石市,3
湖北省,217,荆门市,2
湖北省,271,黄冈市,1
湖北省,310,孝感市,1
四川省,291,南充市,4
四川省,369,达州市,3
四川省,329,广元市,2
四川省,239,巴中市,1
四川省,74,德阳市,1
四川省,241,广安市,1
四川省,330,遂宁市,1
四川省,78,自贡市,1
四川省,331,泸州市,1
云南省,104,昆明市,5
云南省,111,大理白族自治州,4
云南省,249,曲靖市,2
云南省,115,迪庆藏族自治州,1
云南省,107,红河哈尼族彝族自治州,1
云南省,114,丽江市,1
云南省,109,西双版纳傣族自治州,1
湖南省,158,长沙市,5
湖南省,222,株洲市,3
湖南省,219,常德市,1
湖南省,159,衡阳市,1
湖南省,363,怀化市,1
湖南省,221,娄底市,1
湖南省,273,邵阳市,1
广西壮族自治区,261,南宁市,3
广西壮族自治区,295,北海市,2
广西壮族自治区,142,桂林市,2
广西壮族自治区,145,钦州市,2
广西壮族自治区,361,玉林市,1
吉林省,56,四平市,4
吉林省,53,长春市,3
吉林省,55,吉林市,2
吉林省,54,延边朝鲜族自治州,1
山西省,327,吕梁市,3
山西省,176,太原市,3
山西省,328,运城市,2
山西省,356,长治市,1
山西省,368,临汾市,1
陕西省,233,西安市,7
陕西省,352,汉中市,1
陕西省,285,商洛市,1
江西省,163,南昌市,3
江西省,226,抚州市,2
江西省,318,吉安市,1
江西省,349,九江市,1
江西省,278,宜春市,1
重庆市,132,重庆市,7
北京市,131,北京市,6
海南省,125,海口市,3
海南省,121,三亚市,3
安徽省,127,合肥市,2
安徽省,126,蚌埠市,1
安徽省,189,滁州市,1
安徽省,129,芜湖市,1
甘肃省,36,兰州市,3
甘肃省,117,张掖市,2
贵州省,146,贵阳市,4
贵州省,147,六盘水市,1
黑龙江省,50,大庆市,2
黑龙江省,48,哈尔滨市,1
辽宁省,167,大连市,1
辽宁省,184,抚顺市,1
辽宁省,58,沈阳市,1
天津市,332,天津市,2
宁夏回族自治区,360,银川市,1
青海省,65,海西蒙古族藏族自治州,1
