category,city_id,city_name,poi_num
热门城市,332,天津市,1
热门城市,220,岳阳市,32
热门城市,138,佛山市,19
热门城市,326,烟台市,29
热门城市,39,黑河市,20
热门城市,224,苏州市,23
广东省,119,东莞市,16
广东省,257,广州市,16
广东省,340,深圳市,14
广东省,187,中山市,11
广东省,302,江门市,8
广东省,139,茂名市,3
广东省,201,潮州市,2
广东省,338,肇庆市,2
广东省,140,珠海市,2
广东省,200,河源市,1
广东省,301,惠州市,1
广东省,259,揭阳市,1
广东省,141,梅州市,1
广东省,197,清远市,1
广东省,303,汕头市,1
广东省,199,阳江市,1
浙江省,179,杭州市,17
浙江省,333,金华市,10
浙江省,180,宁波市,8
浙江省,293,绍兴市,7
浙江省,334,嘉兴市,4
浙江省,244,台州市,4
浙江省,294,湖州市,3
浙江省,178,温州市,2
河南省,268,郑州市,11
河南省,154,商丘市,8
河南省,153,洛阳市,5
河南省,308,周口市,3
河南省,213,平顶山市,2
河南省,212,三门峡市,2
河南省,152,新乡市,2
河南省,209,濮阳市,2
河南省,267,安阳市,1
河南省,214,信阳市,1
河南省,155,许昌市,1
河南省,269,驻马店市,1
福建省,134,泉州市,12
福建省,300,福州市,8
福建省,255,漳州市,5
福建省,194,厦门市,4
福建省,193,龙岩市,2
福建省,192,宁德市,2
福建省,133,南平市,1
福建省,195,莆田市,1
河北省,307,保定市,16
河北省,150,石家庄市,4
河北省,151,邯郸市,3
河北省,208,衡水市,3
河北省,191,廊坊市,3
河北省,265,唐山市,3
河北省,149,沧州市,1
河北省,148,秦皇岛市,1
河北省,266,邢台市,1
吉林省,53,长春市,20
吉林省,55,吉林市,5
吉林省,56,四平市,3
吉林省,52,松原市,3
吉林省,51,白城市,1
吉林省,57,白山市,1
吉林省,165,通化市,1
吉林省,54,延边朝鲜族自治州,1
江苏省,161,南通市,9
江苏省,317,无锡市,8
江苏省,276,泰州市,5
江苏省,315,南京市,4
江苏省,348,常州市,2
江苏省,347,连云港市,2
江苏省,223,盐城市,2
江苏省,277,宿迁市,1
江苏省,346,扬州市,1
江苏省,160,镇江市,1
山东省,236,青岛市,9
山东省,353,菏泽市,8
山东省,288,济南市,4
山东省,234,临沂市,3
山东省,354,淄博市,3
山东省,287,潍坊市,2
山东省,372,德州市,1
山东省,174,东营市,1
山东省,286,济宁市,1
山东省,325,泰安市,1
山东省,172,枣庄市,1
辽宁省,167,大连市,8
辽宁省,58,沈阳市,8
辽宁省,184,抚顺市,4
辽宁省,280,朝阳市,2
辽宁省,228,盘锦市,2
辽宁省,320,鞍山市,1
辽宁省,319,葫芦岛市,1
辽宁省,281,营口市,1
上海市,289,上海市,25
湖南省,158,长沙市,11
湖南省,219,常德市,5
湖南省,273,邵阳市,2
湖南省,222,株洲市,2
湖南省,221,娄底市,1
黑龙江省,48,哈尔滨市,8
黑龙江省,50,大庆市,4
黑龙江省,41,齐齐哈尔市,2
黑龙江省,43,鹤岗市,1
黑龙江省,46,鸡西市,1
黑龙江省,42,佳木斯市,1
黑龙江省,49,牡丹江市,1
黑龙江省,45,双鸭山市,1
黑龙江省,40,伊春市,1
广西壮族自治区,295,北海市,6
广西壮族自治区,261,南宁市,6
广西壮族自治区,361,玉林市,3
广西壮族自治区,304,梧州市,2
广西壮族自治区,143,河池市,1
广西壮族自治区,305,柳州市,1
安徽省,127,合肥市,6
安徽省,370,宿州市,3
安徽省,128,阜阳市,2
安徽省,190,宣城市,2
安徽省,188,亳州市,2
安徽省,189,滁州市,1
安徽省,298,六安市,1
安徽省,129,芜湖市,1
湖北省,218,武汉市,9
湖北省,270,宜昌市,2
湖北省,122,鄂州市,1
湖北省,271,黄冈市,1
湖北省,311,黄石市,1
湖北省,217,荆门市,1
湖北省,157,荆州市,1
湖北省,1713,仙桃市,1
新疆维吾尔自治区,90,伊犁哈萨克自治州,5
新疆维吾尔自治区,93,昌吉回族自治州,4
新疆维吾尔自治区,92,乌鲁木齐市,3
新疆维吾尔自治区,95,克拉玛依市,2
新疆维吾尔自治区,96,阿勒泰地区,1
新疆维吾尔自治区,86,巴音郭楞蒙古自治州,1
新疆维吾尔自治区,83,喀什地区,1
陕西省,233,西安市,11
陕西省,323,咸阳市,2
陕西省,171,宝鸡市,1
陕西省,352,汉中市,1
陕西省,231,榆林市,1
四川省,75,成都市,9
四川省,241,广安市,2
四川省,240,绵阳市,2
四川省,291,南充市,2
四川省,186,宜宾市,1
重庆市,132,重庆市,15
云南省,104,昆明市,8
云南省,109,西双版纳傣族自治州,3
云南省,112,保山市,1
云南省,107,红河哈尼族彝族自治州,1
云南省,106,玉溪市,1
甘肃省,36,兰州市,4
甘肃省,247,甘南藏族自治州,3
甘肃省,118,武威市,2
甘肃省,35,白银市,1
甘肃省,117,张掖市,1
山西省,356,长治市,2
山西省,238,晋中市,2
山西省,176,太原市,2
山西省,355,大同市,1
山西省,290,晋城市,1
山西省,327,吕梁市,1
山西省,367,忻州市,1
山西省,357,阳泉市,1
内蒙古自治区,229,包头市,2
内蒙古自治区,63,锡林郭勒盟,2
内蒙古自治区,61,呼伦贝尔市,1
内蒙古自治区,64,通辽市,1
内蒙古自治区,62,兴安盟,1
海南省,1217,保亭黎族苗族自治县,1
海南省,2634,东方市,1
海南省,125,海口市,1
海南省,2358,琼海市,1
贵州省,263,安顺市,1
贵州省,146,贵阳市,1
贵州省,147,六盘水市,1
江西省,225,景德镇市,1
江西省,163,南昌市,1
江西省,278,宜春市,1
宁夏回族自治区,360,银川市,3
西藏自治区,100,拉萨市,3
青海省,66,西宁市,2
北京市,131,北京市,1
