category,city_id,city_name,poi_num
热门城市,187,中山市,32
热门城市,346,扬州市,22
热门城市,289,上海市,1
热门城市,197,清远市,7
热门城市,221,娄底市,7
热门城市,75,成都市,1
广东省,140,珠海市,11
广东省,138,佛山市,5
广东省,257,广州市,4
广东省,302,江门市,4
广东省,340,深圳市,4
广东省,119,东莞市,3
广东省,259,揭阳市,2
广东省,301,惠州市,1
广东省,303,汕头市,1
广东省,338,肇庆市,1
湖南省,275,郴州市,5
湖南省,273,邵阳市,2
湖南省,158,长沙市,1
湖南省,159,衡阳市,1
湖南省,272,益阳市,1
福建省,194,厦门市,3
福建省,195,莆田市,2
福建省,300,福州市,1
福建省,255,漳州市,1
广西壮族自治区,203,百色市,1
广西壮族自治区,341,贵港市,1
广西壮族自治区,261,南宁市,1
广西壮族自治区,361,玉林市,1
辽宁省,58,沈阳市,4
浙江省,293,绍兴市,4
安徽省,127,合肥市,2
安徽省,370,宿州市,1
湖北省,218,武汉市,3
江苏省,224,苏州市,1
江苏省,277,宿迁市,1
江苏省,276,泰州市,1
山东省,236,青岛市,2
山东省,372,德州市,1
江西省,365,赣州市,2
四川省,369,达州市,1
四川省,74,德阳市,1
重庆市,132,重庆市,2
天津市,332,天津市,1
云南省,104,昆明市,1
