category,city_id,city_name,poi_num
热门城市,257,广州市,575
热门城市,340,深圳市,496
热门城市,233,西安市,330
热门城市,138,佛山市,354
热门城市,119,东莞市,278
热门城市,153,洛阳市,269
广东省,301,惠州市,261
广东省,303,汕头市,63
广东省,338,肇庆市,9
广东省,187,中山市,9
广东省,197,清远市,7
广东省,141,梅州市,4
广东省,302,江门市,3
广东省,259,揭阳市,2
广东省,137,韶关市,2
广东省,258,云浮市,2
广东省,201,潮州市,1
广东省,339,汕尾市,1
广西壮族自治区,261,南宁市,150
广西壮族自治区,142,桂林市,113
广西壮族自治区,305,柳州市,51
广西壮族自治区,143,河池市,8
广西壮族自治区,361,玉林市,7
广西壮族自治区,203,百色市,3
广西壮族自治区,341,贵港市,3
广西壮族自治区,202,来宾市,3
广西壮族自治区,304,梧州市,2
广西壮族自治区,260,贺州市,1
湖南省,314,永州市,97
湖南省,363,怀化市,69
湖南省,159,衡阳市,58
湖南省,273,邵阳市,44
湖南省,221,娄底市,8
湖南省,275,郴州市,4
湖南省,313,湘潭市,4
湖南省,222,株洲市,1
贵州省,146,贵阳市,183
贵州省,263,安顺市,8
贵州省,262,遵义市,7
贵州省,206,毕节市,6
贵州省,306,黔南布依族苗族自治州,6
贵州省,147,六盘水市,5
贵州省,342,黔东南苗族侗族自治州,5
贵州省,343,黔西南布依族苗族自治州,5
贵州省,205,铜仁市,3
云南省,104,昆明市,154
云南省,106,玉溪市,7
云南省,249,曲靖市,6
云南省,105,楚雄彝族自治州,5
云南省,177,文山壮族苗族自治州,4
云南省,111,大理白族自治州,3
云南省,107,红河哈尼族彝族自治州,3
云南省,114,丽江市,3
云南省,112,保山市,2
云南省,336,昭通市,2
云南省,116,德宏傣族景颇族自治州,1
云南省,108,普洱市,1
福建省,194,厦门市,134
福建省,255,漳州市,5
福建省,133,南平市,2
福建省,193,龙岩市,1
福建省,134,泉州市,1
福建省,254,三明市,1
甘肃省,36,兰州市,99
甘肃省,136,定西市,4
甘肃省,247,甘南藏族自治州,3
甘肃省,35,白银市,2
甘肃省,196,天水市,2
甘肃省,117,张掖市,2
甘肃省,182,临夏回族自治州,1
甘肃省,256,陇南市,1
甘肃省,135,庆阳市,1
甘肃省,118,武威市,1
青海省,66,西宁市,76
青海省,68,海南藏族自治州,3
青海省,69,海东市,2
青海省,71,玉树藏族自治州,1
宁夏回族自治区,360,银川市,63
宁夏回族自治区,335,石嘴山市,1
宁夏回族自治区,322,吴忠市,1
宁夏回族自治区,181,中卫市,1
陕西省,171,宝鸡市,6
陕西省,323,咸阳市,5
陕西省,170,渭南市,4
陕西省,231,榆林市,2
陕西省,232,铜川市,1
江西省,318,吉安市,5
江西省,365,赣州市,4
江西省,350,萍乡市,2
江西省,278,宜春市,2
山西省,368,临汾市,5
山西省,328,运城市,3
山西省,176,太原市,2
山西省,327,吕梁市,1
四川省,80,凉山彝族自治州,6
四川省,81,攀枝花市,2
河南省,212,三门峡市,6
