category,city_id,city_name,poi_num
热门城市,179,杭州市,46
热门城市,180,宁波市,17
热门城市,315,南京市,16
热门城市,158,长沙市,10
热门城市,310,孝感市,11
热门城市,218,武汉市,7
浙江省,334,嘉兴市,7
浙江省,333,金华市,7
浙江省,293,绍兴市,6
浙江省,294,湖州市,5
浙江省,178,温州市,4
浙江省,292,丽水市,1
浙江省,244,台州市,1
江苏省,224,苏州市,8
江苏省,317,无锡市,5
江苏省,348,常州市,3
江苏省,223,盐城市,2
江苏省,162,淮安市,1
江苏省,161,南通市,1
江苏省,276,泰州市,1
江苏省,346,扬州市,1
上海市,289,上海市,12
四川省,75,成都市,10
广东省,138,佛山市,3
广东省,257,广州市,3
广东省,340,深圳市,3
河南省,268,郑州市,4
河南省,153,洛阳市,2
河南省,309,南阳市,1
河南省,154,商丘市,1
河南省,344,漯河市,1
陕西省,233,西安市,9
重庆市,132,重庆市,6
安徽省,127,合肥市,3
安徽省,130,安庆市,2
湖南省,273,邵阳市,2
湖南省,274,湘西土家族苗族自治州,1
湖南省,222,株洲市,1
北京市,131,北京市,3
福建省,194,厦门市,2
福建省,134,泉州市,1
河北省,149,沧州市,1
河北省,191,廊坊市,1
河北省,150,石家庄市,1
山东省,286,济宁市,1
山东省,366,聊城市,1
山西省,327,吕梁市,1
山西省,176,太原市,1
天津市,332,天津市,2
广西壮族自治区,305,柳州市,1
青海省,66,西宁市,1
