category,city_id,city_name,poi_num
热门城市,289,上海市,10
热门城市,287,潍坊市,13
热门城市,132,重庆市,8
热门城市,158,长沙市,8
热门城市,131,北京市,7
热门城市,371,随州市,5
江苏省,346,扬州市,5
江苏省,277,宿迁市,2
江苏省,317,无锡市,2
江苏省,347,连云港市,1
江苏省,161,南通市,1
江苏省,316,徐州市,1
浙江省,293,绍兴市,5
浙江省,333,金华市,2
浙江省,292,丽水市,2
浙江省,179,杭州市,1
浙江省,334,嘉兴市,1
浙江省,180,宁波市,1
广东省,340,深圳市,4
广东省,257,广州市,1
广东省,301,惠州市,1
广东省,302,江门市,1
广东省,259,揭阳市,1
广东省,137,韶关市,1
河南省,268,郑州市,3
河南省,211,焦作市,2
河南省,269,驻马店市,2
河南省,344,漯河市,1
河南省,209,濮阳市,1
山东省,288,济南市,4
山东省,236,青岛市,3
山东省,372,德州市,1
山东省,326,烟台市,1
黑龙江省,48,哈尔滨市,4
黑龙江省,49,牡丹江市,3
黑龙江省,50,大庆市,1
四川省,75,成都市,3
四川省,74,德阳市,1
四川省,291,南充市,1
四川省,186,宜宾市,1
四川省,78,自贡市,1
福建省,254,三明市,3
福建省,255,漳州市,2
福建省,300,福州市,1
湖南省,313,湘潭市,2
湖南省,159,衡阳市,1
湖南省,363,怀化市,1
湖南省,312,张家界市,1
吉林省,53,长春市,2
吉林省,55,吉林市,2
吉林省,54,延边朝鲜族自治州,1
辽宁省,167,大连市,2
辽宁省,58,沈阳市,2
辽宁省,228,盘锦市,1
安徽省,189,滁州市,1
安徽省,127,合肥市,1
安徽省,358,马鞍山市,1
安徽省,370,宿州市,1
湖北省,271,黄冈市,1
湖北省,157,荆州市,1
湖北省,218,武汉市,1
湖北省,156,襄阳市,1
江西省,318,吉安市,3
江西省,279,鹰潭市,1
宁夏回族自治区,335,石嘴山市,3
宁夏回族自治区,360,银川市,1
新疆维吾尔自治区,92,乌鲁木齐市,4
广西壮族自治区,203,百色市,2
广西壮族自治区,202,来宾市,1
河北省,207,承德市,1
河北省,150,石家庄市,1
河北省,264,张家口市,1
内蒙古自治区,63,锡林郭勒盟,2
内蒙古自治区,283,鄂尔多斯市,1
陕西省,171,宝鸡市,2
陕西省,233,西安市,1
天津市,332,天津市,3
云南省,107,红河哈尼族彝族自治州,1
云南省,114,丽江市,1
云南省,249,曲靖市,1
贵州省,263,安顺市,1
贵州省,146,贵阳市,1
山西省,176,太原市,1
山西省,367,忻州市,1
海南省,2358,琼海市,1
青海省,66,西宁市,1
