category,city_id,city_name,poi_num
热门城市,131,北京市,66
热门城市,332,天津市,8
热门城市,233,西安市,4
热门城市,321,呼和浩特市,4
热门城市,132,重庆市,3
热门城市,150,石家庄市,3
山东省,326,烟台市,3
山东省,353,菏泽市,2
山东省,288,济南市,2
山东省,236,青岛市,2
山东省,173,日照市,2
山东省,175,威海市,2
山东省,287,潍坊市,2
山东省,235,滨州市,1
山东省,366,聊城市,1
山东省,234,临沂市,1
山西省,355,大同市,2
山西省,176,太原市,2
山西省,328,运城市,2
山西省,356,长治市,1
山西省,368,临汾市,1
河北省,191,廊坊市,3
河北省,307,保定市,1
河北省,207,承德市,1
河北省,151,邯郸市,1
河北省,208,衡水市,1
内蒙古自治区,283,鄂尔多斯市,3
内蒙古自治区,229,包头市,1
内蒙古自治区,64,通辽市,1
内蒙古自治区,63,锡林郭勒盟,1
安徽省,358,马鞍山市,2
安徽省,128,阜阳市,1
安徽省,370,宿州市,1
江苏省,348,常州市,1
江苏省,162,淮安市,1
江苏省,316,徐州市,1
陕西省,231,榆林市,3
黑龙江省,48,哈尔滨市,1
黑龙江省,42,佳木斯市,1
辽宁省,167,大连市,2
四川省,75,成都市,2
新疆维吾尔自治区,92,乌鲁木齐市,2
福建省,134,泉州市,1
甘肃省,36,兰州市,1
河南省,268,郑州市,1
