category,city_id,city_name,poi_num
热门城市,131,北京市,26
热门城市,332,天津市,23
热门城市,289,上海市,19
热门城市,315,南京市,16
热门城市,224,苏州市,11
热门城市,58,沈阳市,13
江苏省,317,无锡市,7
江苏省,348,常州市,6
江苏省,161,南通市,4
江苏省,223,盐城市,4
江苏省,160,镇江市,4
江苏省,162,淮安市,2
江苏省,277,宿迁市,2
江苏省,347,连云港市,1
江苏省,276,泰州市,1
江苏省,316,徐州市,1
江苏省,346,扬州市,1
山东省,236,青岛市,13
山东省,288,济南市,3
山东省,366,聊城市,2
山东省,234,临沂市,2
山东省,287,潍坊市,2
山东省,326,烟台市,2
山东省,354,淄博市,2
山东省,174,东营市,1
山东省,175,威海市,1
山东省,172,枣庄市,1
辽宁省,167,大连市,10
辽宁省,282,丹东市,2
辽宁省,184,抚顺市,1
辽宁省,166,锦州市,1
辽宁省,351,辽阳市,1
辽宁省,228,盘锦市,1
安徽省,127,合肥市,6
安徽省,126,蚌埠市,4
安徽省,189,滁州市,2
安徽省,128,阜阳市,2
安徽省,358,马鞍山市,1
山西省,238,晋中市,4
山西省,368,临汾市,4
山西省,176,太原市,4
山西省,355,大同市,1
山西省,328,运城市,1
陕西省,233,西安市,10
陕西省,170,渭南市,2
河北省,151,邯郸市,3
河北省,150,石家庄市,2
河北省,265,唐山市,2
河北省,149,沧州市,1
河北省,191,廊坊市,1
河北省,148,秦皇岛市,1
河北省,266,邢台市,1
浙江省,179,杭州市,4
浙江省,180,宁波市,3
浙江省,293,绍兴市,2
广东省,259,揭阳市,2
广东省,187,中山市,2
广东省,138,佛山市,1
广东省,257,广州市,1
广东省,340,深圳市,1
广东省,140,珠海市,1
河南省,268,郑州市,2
河南省,214,信阳市,1
河南省,209,濮阳市,1
湖南省,158,长沙市,2
湖南省,272,益阳市,1
湖南省,314,永州市,1
四川省,75,成都市,2
四川省,329,广元市,1
四川省,291,南充市,1
黑龙江省,48,哈尔滨市,3
湖北省,157,荆州市,2
湖北省,311,黄石市,1
吉林省,53,长春市,3
内蒙古自治区,321,呼和浩特市,2
内蒙古自治区,61,呼伦贝尔市,1
甘肃省,36,兰州市,2
广西壮族自治区,142,桂林市,1
广西壮族自治区,261,南宁市,1
江西省,365,赣州市,1
江西省,278,宜春市,1
新疆维吾尔自治区,93,昌吉回族自治州,1
新疆维吾尔自治区,95,克拉玛依市,1
重庆市,132,重庆市,1
