category,city_id,city_name,poi_num
热门城市,131,北京市,2
热门城市,366,聊城市,1
热门城市,255,漳州市,2
热门城市,340,深圳市,6
热门城市,289,上海市,3
热门城市,283,鄂尔多斯市,1
福建省,193,龙岩市,2
福建省,134,泉州市,2
福建省,194,厦门市,1
广东省,119,东莞市,3
广东省,141,梅州市,1
广东省,187,中山市,1
浙江省,179,杭州市,4
浙江省,178,温州市,1
山东省,287,潍坊市,2
山东省,353,菏泽市,1
山东省,288,济南市,1
陕西省,233,西安市,2
陕西省,171,宝鸡市,1
陕西省,231,榆林市,1
广西壮族自治区,142,桂林市,1
广西壮族自治区,361,玉林市,1
湖南省,158,长沙市,1
湖南省,222,株洲市,1
江苏省,161,南通市,2
甘肃省,118,武威市,1
湖北省,218,武汉市,1
内蒙古自治区,62,兴安盟,1
山西省,176,太原市,1
四川省,75,成都市,1
天津市,332,天津市,1
重庆市,132,重庆市,1
