category,city_id,city_name,poi_num
热门城市,289,上海市,347
热门城市,218,武汉市,164
热门城市,127,合肥市,83
热门城市,179,杭州市,70
热门城市,161,南通市,71
热门城市,317,无锡市,68
江苏省,224,苏州市,59
江苏省,223,盐城市,43
江苏省,347,连云港市,38
江苏省,348,常州市,33
江苏省,346,扬州市,27
江苏省,316,徐州市,23
江苏省,276,泰州市,20
江苏省,315,南京市,18
江苏省,162,淮安市,11
江苏省,277,宿迁市,11
江苏省,160,镇江市,7
浙江省,180,宁波市,54
浙江省,334,嘉兴市,26
浙江省,244,台州市,26
浙江省,333,金华市,16
浙江省,293,绍兴市,9
浙江省,178,温州市,8
浙江省,245,舟山市,5
浙江省,292,丽水市,3
浙江省,243,衢州市,2
安徽省,358,马鞍山市,22
安徽省,188,亳州市,14
安徽省,298,六安市,11
安徽省,129,芜湖市,11
安徽省,130,安庆市,9
安徽省,250,淮南市,9
安徽省,337,铜陵市,9
安徽省,190,宣城市,9
安徽省,251,巢湖市,7
安徽省,128,阜阳市,7
安徽省,370,宿州市,5
安徽省,126,蚌埠市,4
安徽省,189,滁州市,4
安徽省,299,池州市,2
安徽省,253,淮北市,2
安徽省,252,黄山市,1
湖北省,271,黄冈市,15
湖北省,156,襄阳市,11
湖北省,311,黄石市,10
湖北省,217,荆门市,8
湖北省,157,荆州市,8
湖北省,122,鄂州市,5
湖北省,216,十堰市,5
湖北省,373,恩施土家族苗族自治州,4
湖北省,310,孝感市,4
湖北省,270,宜昌市,4
湖北省,362,咸宁市,3
湖北省,371,随州市,1
湖北省,1713,仙桃市,1
江西省,349,九江市,16
江西省,318,吉安市,11
江西省,163,南昌市,11
江西省,225,景德镇市,9
江西省,226,抚州市,7
江西省,364,上饶市,5
江西省,365,赣州市,3
江西省,278,宜春市,3
江西省,350,萍乡市,2
广东省,340,深圳市,13
广东省,138,佛山市,7
广东省,119,东莞市,5
广东省,257,广州市,5
广东省,301,惠州市,4
广东省,140,珠海市,3
广东省,303,汕头市,2
广东省,139,茂名市,1
广东省,141,梅州市,1
广东省,197,清远市,1
广东省,339,汕尾市,1
广东省,137,韶关市,1
广东省,187,中山市,1
福建省,300,福州市,14
福建省,134,泉州市,8
福建省,192,宁德市,4
福建省,254,三明市,4
福建省,133,南平市,3
福建省,194,厦门市,3
福建省,255,漳州市,2
福建省,193,龙岩市,1
山东省,235,滨州市,5
山东省,236,青岛市,5
山东省,354,淄博市,5
山东省,353,菏泽市,3
山东省,366,聊城市,2
山东省,325,泰安市,2
山东省,372,德州市,1
山东省,174,东营市,1
山东省,288,济南市,1
山东省,286,济宁市,1
山东省,124,莱芜市,1
山东省,234,临沂市,1
山东省,173,日照市,1
山东省,175,威海市,1
山东省,287,潍坊市,1
山东省,326,烟台市,1
山东省,172,枣庄市,1
辽宁省,167,大连市,18
辽宁省,319,葫芦岛市,5
辽宁省,280,朝阳市,2
辽宁省,282,丹东市,2
辽宁省,184,抚顺市,2
辽宁省,351,辽阳市,1
辽宁省,58,沈阳市,1
辽宁省,281,营口市,1
河南省,309,南阳市,6
河南省,214,信阳市,6
河南省,268,郑州市,5
河南省,213,平顶山市,3
河南省,211,焦作市,2
河南省,154,商丘市,2
河南省,308,周口市,2
河南省,269,驻马店市,2
河南省,344,漯河市,1
河南省,209,濮阳市,1
湖南省,158,长沙市,10
湖南省,221,娄底市,7
湖南省,159,衡阳市,3
湖南省,220,岳阳市,3
湖南省,222,株洲市,3
湖南省,313,湘潭市,2
湖南省,363,怀化市,1
四川省,75,成都市,21
四川省,74,德阳市,5
四川省,329,广元市,1
四川省,248,内江市,1
四川省,186,宜宾市,1
河北省,191,廊坊市,18
河北省,150,石家庄市,2
河北省,265,唐山市,2
河北省,266,邢台市,2
河北省,151,邯郸市,1
山西省,176,太原市,7
山西省,328,运城市,4
山西省,356,长治市,2
山西省,368,临汾市,2
山西省,327,吕梁市,2
山西省,367,忻州市,2
山西省,355,大同市,1
山西省,290,晋城市,1
山西省,238,晋中市,1
山西省,357,阳泉市,1
陕西省,233,西安市,6
陕西省,171,宝鸡市,2
陕西省,170,渭南市,2
陕西省,323,咸阳市,2
陕西省,352,汉中市,1
广西壮族自治区,305,柳州市,4
广西壮族自治区,261,南宁市,3
广西壮族自治区,295,北海市,2
广西壮族自治区,204,防城港市,1
广西壮族自治区,142,桂林市,1
黑龙江省,48,哈尔滨市,6
黑龙江省,42,佳木斯市,2
黑龙江省,41,齐齐哈尔市,1
重庆市,132,重庆市,8
云南省,105,楚雄彝族自治州,1
云南省,116,德宏傣族景颇族自治州,1
云南省,115,迪庆藏族自治州,1
云南省,104,昆明市,1
云南省,108,普洱市,1
云南省,249,曲靖市,1
云南省,106,玉溪市,1
海南省,125,海口市,5
海南省,1641,屯昌县,1
甘肃省,256,陇南市,1
甘肃省,359,平凉市,1
甘肃省,135,庆阳市,1
甘肃省,118,武威市,1
香港特别行政区,2912,香港特别行政区,4
新疆维吾尔自治区,92,乌鲁木齐市,4
北京市,131,北京市,3
贵州省,263,安顺市,1
贵州省,146,贵阳市,1
贵州省,205,铜仁市,1
天津市,332,天津市,3
吉林省,52,松原市,1
吉林省,165,通化市,1
内蒙古自治区,283,鄂尔多斯市,1
