category,city_id,city_name,poi_num
热门城市,289,上海市,12
热门城市,53,长春市,14
热门城市,228,盘锦市,10
热门城市,176,太原市,8
热门城市,75,成都市,7
热门城市,317,无锡市,6
广东省,257,广州市,5
广东省,340,深圳市,5
广东省,187,中山市,3
广东省,201,潮州市,1
广东省,138,佛山市,1
广东省,139,茂名市,1
广东省,197,清远市,1
广东省,199,阳江市,1
广东省,198,湛江市,1
广东省,140,珠海市,1
辽宁省,167,大连市,5
辽宁省,59,阜新市,4
辽宁省,166,锦州市,3
辽宁省,58,沈阳市,3
辽宁省,184,抚顺市,2
辽宁省,280,朝阳市,1
辽宁省,282,丹东市,1
江苏省,348,常州市,6
江苏省,224,苏州市,5
江苏省,277,宿迁市,2
江苏省,346,扬州市,2
江苏省,162,淮安市,1
江苏省,315,南京市,1
江苏省,316,徐州市,1
山东省,236,青岛市,4
山东省,287,潍坊市,3
山东省,288,济南市,2
山东省,366,聊城市,2
山东省,175,威海市,2
山东省,234,临沂市,1
山东省,326,烟台市,1
山东省,354,淄博市,1
湖南省,158,长沙市,4
湖南省,219,常德市,3
湖南省,222,株洲市,2
湖南省,159,衡阳市,1
湖南省,363,怀化市,1
湖南省,273,邵阳市,1
湖南省,313,湘潭市,1
内蒙古自治区,297,赤峰市,3
内蒙古自治区,169,巴彦淖尔市,2
内蒙古自治区,283,鄂尔多斯市,2
内蒙古自治区,321,呼和浩特市,2
内蒙古自治区,63,锡林郭勒盟,2
内蒙古自治区,229,包头市,1
内蒙古自治区,62,兴安盟,1
浙江省,178,温州市,4
浙江省,179,杭州市,3
浙江省,334,嘉兴市,2
浙江省,180,宁波市,2
浙江省,294,湖州市,1
浙江省,293,绍兴市,1
河北省,150,石家庄市,4
河北省,149,沧州市,3
河北省,265,唐山市,2
河北省,307,保定市,1
河北省,264,张家口市,1
黑龙江省,49,牡丹江市,3
黑龙江省,50,大庆市,2
黑龙江省,44,绥化市,2
黑龙江省,48,哈尔滨市,1
黑龙江省,42,佳木斯市,1
黑龙江省,47,七台河市,1
黑龙江省,41,齐齐哈尔市,1
吉林省,56,四平市,3
吉林省,52,松原市,3
吉林省,55,吉林市,2
吉林省,51,白城市,1
吉林省,57,白山市,1
吉林省,183,辽源市,1
福建省,300,福州市,3
福建省,192,宁德市,2
福建省,194,厦门市,2
福建省,134,泉州市,1
安徽省,128,阜阳市,4
安徽省,126,蚌埠市,1
安徽省,250,淮南市,1
安徽省,190,宣城市,1
河南省,309,南阳市,3
河南省,210,开封市,1
河南省,154,商丘市,1
河南省,308,周口市,1
河南省,344,漯河市,1
湖北省,218,武汉市,3
湖北省,1713,仙桃市,1
湖北省,310,孝感市,1
湖北省,270,宜昌市,1
新疆维吾尔自治区,92,乌鲁木齐市,4
新疆维吾尔自治区,83,喀什地区,1
北京市,131,北京市,4
贵州省,262,遵义市,2
贵州省,146,贵阳市,1
贵州省,342,黔东南苗族侗族自治州,1
山西省,355,大同市,1
山西省,327,吕梁市,1
山西省,367,忻州市,1
山西省,357,阳泉市,1
云南省,104,昆明市,3
云南省,112,保山市,1
广西壮族自治区,261,南宁市,3
天津市,332,天津市,3
江西省,163,南昌市,1
江西省,278,宜春市,1
甘肃省,36,兰州市,1
四川省,248,内江市,1
重庆市,132,重庆市,1
