category,city_id,city_name,poi_num
热门城市,132,重庆市,80
热门城市,292,丽水市,35
热门城市,300,福州市,22
热门城市,333,金华市,20
热门城市,179,杭州市,14
热门城市,220,岳阳市,6
浙江省,244,台州市,3
浙江省,243,衢州市,3
浙江省,294,湖州市,2
浙江省,334,嘉兴市,2
浙江省,293,绍兴市,2
浙江省,178,温州市,1
浙江省,245,舟山市,1
福建省,194,厦门市,4
福建省,193,龙岩市,2
福建省,133,南平市,2
福建省,195,莆田市,1
福建省,134,泉州市,1
江苏省,224,苏州市,3
江苏省,316,徐州市,1
江西省,364,上饶市,4
四川省,291,南充市,4
辽宁省,58,沈阳市,2
辽宁省,282,丹东市,1
贵州省,146,贵阳市,1
贵州省,306,黔南布依族苗族自治州,1
湖北省,157,荆州市,2
广东省,339,汕尾市,1
广西壮族自治区,261,南宁市,1
河北省,150,石家庄市,1
湖南省,273,邵阳市,1
宁夏回族自治区,246,固原市,1
山东省,354,淄博市,1
陕西省,231,榆林市,1
新疆维吾尔自治区,83,喀什地区,1
