category,city_id,city_name,poi_num
热门城市,158,长沙市,99
热门城市,229,包头市,33
热门城市,219,常德市,29
热门城市,159,衡阳市,21
热门城市,222,株洲市,12
热门城市,220,岳阳市,8
湖南省,314,永州市,7
湖南省,275,郴州市,6
湖南省,363,怀化市,6
湖南省,221,娄底市,6
湖南省,313,湘潭市,5
湖南省,272,益阳市,5
湖南省,273,邵阳市,2
湖南省,274,湘西土家族苗族自治州,2
湖南省,312,张家界市,1
内蒙古自治区,283,鄂尔多斯市,5
内蒙古自治区,297,赤峰市,1
内蒙古自治区,321,呼和浩特市,1
内蒙古自治区,61,呼伦贝尔市,1
湖北省,271,黄冈市,2
湖北省,157,荆州市,2
湖北省,218,武汉市,2
湖北省,373,恩施土家族苗族自治州,1
宁夏回族自治区,360,银川市,5
宁夏回族自治区,322,吴忠市,1
广东省,138,佛山市,2
广东省,201,潮州市,1
广东省,119,东莞市,1
广东省,198,湛江市,1
贵州省,262,遵义市,2
贵州省,146,贵阳市,1
贵州省,147,六盘水市,1
贵州省,205,铜仁市,1
云南省,105,楚雄彝族自治州,1
云南省,111,大理白族自治州,1
云南省,104,昆明市,1
云南省,108,普洱市,1
云南省,106,玉溪市,1
江西省,163,南昌市,2
江西省,365,赣州市,1
辽宁省,167,大连市,2
辽宁省,320,鞍山市,1
山西省,290,晋城市,3
重庆市,132,重庆市,2
安徽省,252,黄山市,1
福建省,134,泉州市,1
河南省,214,信阳市,1
青海省,66,西宁市,1
山东省,325,泰安市,1
陕西省,323,咸阳市,1
天津市,332,天津市,1
