category,city_id,city_name,poi_num
热门城市,132,重庆市,6
热门城市,218,武汉市,257
热门城市,236,青岛市,56
热门城市,261,南宁市,284
热门城市,158,长沙市,71
热门城市,131,北京市,114
黑龙江省,48,哈尔滨市,83
黑龙江省,50,大庆市,2
黑龙江省,42,佳木斯市,2
黑龙江省,47,七台河市,1
黑龙江省,45,双鸭山市,1
江苏省,315,南京市,39
江苏省,317,无锡市,10
江苏省,224,苏州市,4
江苏省,162,淮安市,1
江苏省,316,徐州市,1
陕西省,233,西安市,48
陕西省,171,宝鸡市,1
陕西省,323,咸阳市,1
陕西省,284,延安市,1
上海市,289,上海市,46
辽宁省,58,沈阳市,23
辽宁省,167,大连市,6
辽宁省,184,抚顺市,2
辽宁省,282,丹东市,1
辽宁省,166,锦州市,1
辽宁省,281,营口市,1
广东省,119,东莞市,7
广东省,138,佛山市,7
广东省,200,河源市,4
广东省,302,江门市,3
广东省,340,深圳市,2
广东省,257,广州市,1
广东省,301,惠州市,1
广东省,141,梅州市,1
广东省,303,汕头市,1
广东省,187,中山市,1
广东省,140,珠海市,1
山东省,288,济南市,22
山东省,326,烟台市,3
山东省,286,济宁市,1
山东省,175,威海市,1
福建省,194,厦门市,4
福建省,134,泉州市,3
福建省,300,福州市,2
河北省,307,保定市,3
河北省,191,廊坊市,3
河北省,265,唐山市,2
河北省,150,石家庄市,1
河南省,210,开封市,4
河南省,211,焦作市,1
河南省,152,新乡市,1
河南省,214,信阳市,1
河南省,268,郑州市,1
河南省,269,驻马店市,1
浙江省,180,宁波市,3
浙江省,244,台州市,3
浙江省,179,杭州市,1
浙江省,333,金华市,1
浙江省,178,温州市,1
天津市,332,天津市,8
安徽省,129,芜湖市,4
安徽省,127,合肥市,3
内蒙古自治区,321,呼和浩特市,2
内蒙古自治区,61,呼伦贝尔市,2
内蒙古自治区,283,鄂尔多斯市,1
吉林省,53,长春市,3
吉林省,54,延边朝鲜族自治州,1
四川省,75,成都市,1
四川省,74,德阳市,1
四川省,331,泸州市,1
广西壮族自治区,295,北海市,1
广西壮族自治区,142,桂林市,1
贵州省,263,安顺市,1
贵州省,262,遵义市,1
湖北省,157,荆州市,2
湖南省,220,岳阳市,1
湖南省,222,株洲市,1
江西省,365,赣州市,1
江西省,278,宜春市,1
海南省,2358,琼海市,1
山西省,176,太原市,1
云南省,104,昆明市,1
