category,city_id,city_name,poi_num
热门城市,58,沈阳市,41
热门城市,265,唐山市,48
热门城市,307,保定市,39
热门城市,48,哈尔滨市,28
热门城市,207,承德市,22
热门城市,151,邯郸市,20
河北省,148,秦皇岛市,19
河北省,150,石家庄市,15
河北省,264,张家口市,15
河北省,149,沧州市,14
河北省,191,廊坊市,12
河北省,208,衡水市,3
河北省,266,邢台市,1
内蒙古自治区,61,呼伦贝尔市,17
内蒙古自治区,168,乌兰察布市,11
内蒙古自治区,63,锡林郭勒盟,11
内蒙古自治区,321,呼和浩特市,9
内蒙古自治区,297,赤峰市,6
内蒙古自治区,283,鄂尔多斯市,6
内蒙古自治区,64,通辽市,5
内蒙古自治区,169,巴彦淖尔市,3
内蒙古自治区,123,乌海市,1
内蒙古自治区,62,兴安盟,1
辽宁省,166,锦州市,17
辽宁省,319,葫芦岛市,9
辽宁省,351,辽阳市,8
辽宁省,60,铁岭市,8
辽宁省,282,丹东市,6
辽宁省,184,抚顺市,5
辽宁省,320,鞍山市,4
辽宁省,280,朝阳市,3
辽宁省,228,盘锦市,3
辽宁省,167,大连市,2
辽宁省,59,阜新市,2
辽宁省,227,本溪市,1
黑龙江省,41,齐齐哈尔市,11
黑龙江省,44,绥化市,10
黑龙江省,49,牡丹江市,8
黑龙江省,42,佳木斯市,7
黑龙江省,50,大庆市,6
黑龙江省,45,双鸭山市,4
黑龙江省,39,黑河市,3
黑龙江省,43,鹤岗市,2
黑龙江省,46,鸡西市,2
黑龙江省,47,七台河市,1
黑龙江省,40,伊春市,1
吉林省,53,长春市,11
吉林省,55,吉林市,7
吉林省,165,通化市,6
吉林省,51,白城市,5
吉林省,56,四平市,5
吉林省,54,延边朝鲜族自治州,4
吉林省,183,辽源市,3
吉林省,52,松原市,2
吉林省,57,白山市,1
陕西省,171,宝鸡市,7
陕西省,233,西安市,7
陕西省,284,延安市,6
陕西省,231,榆林市,6
陕西省,232,铜川市,2
陕西省,323,咸阳市,2
陕西省,285,商洛市,1
陕西省,170,渭南市,1
山西省,237,朔州市,7
山西省,355,大同市,5
山西省,238,晋中市,5
山西省,367,忻州市,5
山西省,327,吕梁市,3
山西省,357,阳泉市,2
山西省,356,长治市,1
山西省,328,运城市,1
河南省,214,信阳市,4
河南省,153,洛阳市,3
河南省,308,周口市,3
河南省,152,新乡市,2
河南省,268,郑州市,2
河南省,267,安阳市,1
河南省,215,鹤壁市,1
河南省,211,焦作市,1
河南省,155,许昌市,1
河南省,269,驻马店市,1
天津市,332,天津市,17
山东省,287,潍坊市,6
山东省,353,菏泽市,2
山东省,236,青岛市,2
山东省,372,德州市,1
山东省,286,济宁市,1
山东省,366,聊城市,1
山东省,325,泰安市,1
新疆维吾尔自治区,96,阿勒泰地区,5
新疆维吾尔自治区,91,哈密市,3
新疆维吾尔自治区,94,塔城地区,1
江苏省,316,徐州市,6
江苏省,224,苏州市,1
江苏省,277,宿迁市,1
甘肃省,135,庆阳市,3
甘肃省,35,白银市,1
甘肃省,36,兰州市,1
宁夏回族自治区,335,石嘴山市,2
宁夏回族自治区,360,银川市,1
宁夏回族自治区,181,中卫市,1
云南省,104,昆明市,3
云南省,336,昭通市,1
浙江省,334,嘉兴市,3
浙江省,179,杭州市,1
北京市,131,北京市,3
四川省,291,南充市,1
四川省,81,攀枝花市,1
四川省,331,泸州市,1
安徽省,252,黄山市,1
安徽省,370,宿州市,1
广东省,340,深圳市,1
广东省,140,珠海市,1
湖南省,219,常德市,2
福建省,134,泉州市,1
广西壮族自治区,142,桂林市,1
江西省,349,九江市,1
