category,city_id,city_name,poi_num
热门城市,257,广州市,17
热门城市,198,湛江市,16
热门城市,361,玉林市,15
热门城市,139,茂名市,14
热门城市,341,贵港市,9
热门城市,340,深圳市,8
广东省,119,东莞市,8
广东省,199,阳江市,7
广东省,301,惠州市,5
广东省,259,揭阳市,5
广东省,141,梅州市,4
广东省,302,江门市,3
广东省,187,中山市,3
广东省,138,佛山市,2
广东省,200,河源市,2
广东省,303,汕头市,2
广东省,258,云浮市,2
广东省,140,珠海市,2
广东省,197,清远市,1
广东省,339,汕尾市,1
广东省,338,肇庆市,1
广西壮族自治区,203,百色市,6
广西壮族自治区,143,河池市,6
广西壮族自治区,261,南宁市,5
广西壮族自治区,144,崇左市,3
广西壮族自治区,145,钦州市,2
广西壮族自治区,295,北海市,1
广西壮族自治区,204,防城港市,1
广西壮族自治区,142,桂林市,1
广西壮族自治区,260,贺州市,1
湖南省,273,邵阳市,7
湖南省,272,益阳市,4
湖南省,314,永州市,3
湖南省,220,岳阳市,2
湖南省,222,株洲市,2
湖南省,219,常德市,1
湖南省,275,郴州市,1
湖南省,312,张家界市,1
山西省,327,吕梁市,5
山西省,368,临汾市,4
山西省,356,长治市,2
山西省,355,大同市,2
山西省,238,晋中市,1
山西省,328,运城市,1
山东省,234,临沂市,7
山东省,366,聊城市,3
山东省,353,菏泽市,2
山东省,288,济南市,1
山东省,236,青岛市,1
河北省,191,廊坊市,4
河北省,151,邯郸市,3
河北省,264,张家口市,3
河北省,207,承德市,2
河北省,266,邢台市,1
辽宁省,320,鞍山市,3
辽宁省,167,大连市,3
辽宁省,227,本溪市,1
辽宁省,280,朝阳市,1
辽宁省,282,丹东市,1
辽宁省,59,阜新市,1
辽宁省,58,沈阳市,1
辽宁省,60,铁岭市,1
辽宁省,281,营口市,1
江西省,278,宜春市,4
江西省,350,萍乡市,3
江西省,226,抚州市,2
江西省,163,南昌市,2
江西省,365,赣州市,1
甘肃省,36,兰州市,6
甘肃省,182,临夏回族自治州,2
甘肃省,247,甘南藏族自治州,1
甘肃省,196,天水市,1
甘肃省,117,张掖市,1
黑龙江省,41,齐齐哈尔市,4
黑龙江省,48,哈尔滨市,2
黑龙江省,49,牡丹江市,2
黑龙江省,39,黑河市,1
浙江省,333,金华市,4
浙江省,244,台州市,2
浙江省,179,杭州市,1
浙江省,178,温州市,1
北京市,131,北京市,6
贵州省,262,遵义市,2
贵州省,342,黔东南苗族侗族自治州,1
贵州省,306,黔南布依族苗族自治州,1
贵州省,205,铜仁市,1
吉林省,53,长春市,2
吉林省,55,吉林市,1
吉林省,56,四平市,1
吉林省,54,延边朝鲜族自治州,1
内蒙古自治区,297,赤峰市,3
内蒙古自治区,169,巴彦淖尔市,1
内蒙古自治区,283,鄂尔多斯市,1
云南省,104,昆明市,3
云南省,114,丽江市,1
云南省,113,怒江傈僳族自治州,1
湖北省,271,黄冈市,2
湖北省,217,荆门市,1
湖北省,2654,天门市,1
安徽省,189,滁州市,2
安徽省,130,安庆市,1
福建省,254,三明市,3
江苏省,316,徐州市,2
江苏省,277,宿迁市,1
天津市,332,天津市,3
河南省,267,安阳市,1
河南省,268,郑州市,1
陕西省,284,延安市,1
陕西省,231,榆林市,1
四川省,75,成都市,1
四川省,81,攀枝花市,1
重庆市,132,重庆市,2
海南省,2031,琼中黎族苗族自治县,1
