,city_id,keyword,dianping_shop_id,shop_title,stars,shop_url,state
0,1,百特喜,23086186,百特喜鹅肝比萨意大利餐厅(日月光中心广场店),五星商户,http://www.dianping.com/shop/23086186#comment,
1,1,百特喜,96459671,百特喜鹅肝比萨意大利餐厅(宝山龙湖店),四星商户,http://www.dianping.com/shop/96459671#comment,
2,1,百特喜,4600192,百特喜鹅肝比萨意大利餐厅(鹿都国际商业广场店),四星商户,http://www.dianping.com/shop/4600192#comment,
3,5,百特喜,79647360,百特喜意式休闲餐厅(湖南路店),三星商户,http://www.dianping.com/shop/79647360/review,歇业/关闭
4,6,百特喜,68058187,百特喜鹅肝比萨意大利餐厅(中楠都汇店),五星商户,http://www.dianping.com/shop/68058187#comment,
5,6,百特喜,18192077,百特喜鹅肝比萨意大利餐厅(捞品城店),准五星商户,http://www.dianping.com/shop/18192077#comment,
6,6,百特喜,5290378,百特喜·鹅肝比萨意大利餐厅(太仓华旭店),准四星商户,http://www.dianping.com/shop/5290378#comment,
7,6,百特喜,22725327,百特喜鹅肝比萨意大利餐厅(曼巴特购物广场店),准五星商户,http://www.dianping.com/shop/22725327#comment,
8,6,百特喜,95975585,百特喜鹅肝比萨意大利餐厅(杨舍老街店),准五星商户,http://www.dianping.com/shop/95975585#comment,
9,9,百特喜,48130450,百特喜匹萨,该商户暂无星级,http://www.dianping.com/shop/48130450/review,
10,12,百特喜,105850157,倍兒餐厅(原百特喜店),该商户暂无星级,http://www.dianping.com/shop/105850157/review,
11,13,百特喜,56739072,百特喜鹅肝比萨意大利餐厅(江阴店),准五星商户,http://www.dianping.com/shop/56739072#comment,
12,16,百特喜,92659045,百特喜鹅肝比萨意大利餐厅(凯德西城店),五星商户,http://www.dianping.com/shop/92659045#comment,
13,17,百特喜,77451501,百特喜鹅肝比萨意大利餐厅(金地广场店),准五星商户,http://www.dianping.com/shop/77451501#comment,
14,17,百特喜,125365304,西安市百特喜休闲餐厅,该商户暂无星级,http://www.dianping.com/shop/125365304/review,
15,33,百特喜,125239669,廊坊市百特喜休闲餐厅,该商户暂无星级,http://www.dianping.com/shop/125239669/review,
16,79,百特喜,120064313,百特喜鹅肝比萨意大利餐厅(果戈里大街店),准五星商户,http://www.dianping.com/shop/120064313#comment,
17,79,百特喜,92965797,百特喜鹅肝比萨意大利餐厅(会展中心店),准五星商户,http://www.dianping.com/shop/92965797#comment,
18,93,百特喜,16990073,百特喜·鹅肝比萨意大利餐厅(金坛花都店),四星商户,http://www.dianping.com/shop/16990073#comment,
19,93,百特喜,5533550,百特喜·鹅肝比萨意大利餐厅(金坛八佰伴店),四星商户,http://www.dianping.com/shop/5533550#comment,
20,93,百特喜,6339381,百特喜·鹅肝比萨(万达店),准四星商户,http://www.dianping.com/shop/6339381#comment,
21,93,百特喜,8993632,百特喜比萨(吾悦国际店),该商户暂无星级,http://www.dianping.com/shop/8993632#comment,歇业/关闭
22,95,百特喜,15110280,百特喜鹅肝比萨意大利餐厅(远洲城市广场店),准四星商户,http://www.dianping.com/shop/15110280#comment,
23,98,百特喜,6093078,百特喜鹅肝比萨意大利餐厅(八佰伴店),四星商户,http://www.dianping.com/shop/6093078#comment,
24,102,百特喜,13658968,百特喜意式休闲餐厅,准四星商户,http://www.dianping.com/shop/13658968#comment,
