,city_id,keyword,dianping_shop_id,shop_title,stars,shop_url,state
0,14,豪佳客牛排,9678450,佳客来牛排(永泰县店),准四星商户,http://www.dianping.com/shop/9678450#comment,
1,14,豪佳客牛排,5419285,佳客来(马尾君竹路店),三星商户,http://www.dianping.com/shop/5419285#comment,
2,15,豪佳客牛排,546912,豪佳香牛排人文咖啡馆(江头店),准四星商户,http://www.dianping.com/shop/546912#comment,
3,15,豪佳客牛排,2104714,豪佳香牛排人文咖啡馆(集美店),准四星商户,http://www.dianping.com/shop/2104714#comment,
4,15,豪佳客牛排,2380486,豪佳香牛排人文咖啡馆(瑞景店),四星商户,http://www.dianping.com/shop/2380486#comment,
5,23,豪佳客牛排,50711473,佳客来牛排专家,三星商户,http://www.dianping.com/shop/50711473#comment,
6,32,豪佳客牛排,101610803,豪佳客牛排杯,该商户暂无星级,http://www.dianping.com/shop/101610803/review,
7,101,豪佳客牛排,5500651,豪佳客牛排,该商户暂无星级,http://www.dianping.com/shop/5500651#comment,歇业/关闭
8,102,豪佳客牛排,80037723,豪佳客牛排,该商户暂无星级,http://www.dianping.com/shop/80037723/review,
9,110,豪佳客牛排,18779193,豪佳客牛排西餐厅(步行街店),四星商户,http://www.dianping.com/shop/18779193#comment,
10,110,豪佳客牛排,14743607,豪佳客牛排自助,准四星商户,http://www.dianping.com/shop/14743607#comment,
13,127,豪佳客牛排,18145349,豪佳客牛排(东井街店),三星商户,http://www.dianping.com/shop/18145349#comment,
14,127,豪佳客牛排,96200611,豪佳客披萨牛排焗饭(正荣店),三星商户,http://www.dianping.com/shop/96200611#comment,
15,127,豪佳客牛排,24960270,豪佳客牛排,准四星商户,http://www.dianping.com/shop/24960270#comment,
16,127,豪佳客牛排,97961238,豪佳客·披萨牛排焗饭,准四星商户,http://www.dianping.com/shop/97961238#comment,
17,127,豪佳客牛排,114686510,豪佳客家庭牛排,该商户暂无星级,http://www.dianping.com/shop/114686510/review,
18,127,豪佳客牛排,41360197,豪佳客生鲜牛排,该商户暂无星级,http://www.dianping.com/shop/41360197/review,
19,128,豪佳客牛排,98413539,豪佳人,三星商户,http://www.dianping.com/shop/98413539#comment,
20,129,豪佳客牛排,9589024,佳客来牛排专家,准四星商户,http://www.dianping.com/shop/9589024#comment,
21,133,豪佳客牛排,6617843,佳客来牛排咖啡厅(沃尔玛店),三星商户,http://www.dianping.com/shop/6617843#comment,
22,152,豪佳客牛排,8395925,豪佳客牛排,四星商户,http://www.dianping.com/shop/8395925#comment,
23,152,豪佳客牛排,113924840,豪佳客牛排,该商户暂无星级,http://www.dianping.com/shop/113924840/review,
24,160,豪佳客牛排,24999298,佳客来牛排自助西餐厅(亚星时代广场店),准四星商户,http://www.dianping.com/shop/24999298#comment,
25,160,豪佳客牛排,13798275,佳客来牛排(洧水路店),准四星商户,http://www.dianping.com/shop/13798275#comment,
26,161,豪佳客牛排,65799534,佳客来牛排专家(通许店),三星商户,http://www.dianping.com/shop/65799534#comment,
27,168,豪佳客牛排,69679803,豪佳客融合餐厅,三星商户,http://www.dianping.com/shop/69679803#comment,
28,394,豪佳客牛排,23691169,佳客来牛排餐厅,准四星商户,http://www.dianping.com/shop/23691169#comment,
