province,city,city_abbr,tier,meituan_city_id
安徽,安庆市,安庆,B,117
安徽,蚌埠市,蚌埠,B,112
安徽,亳州市,亳州,B,124
安徽,巢湖市,巢湖,B,122
安徽,池州市,池州,B,125
安徽,滁州市,滁州,B,119
安徽,阜阳市,阜阳,B,120
安徽,淮北市,淮北,B,115
安徽,淮南市,淮南,B,113
安徽,黄山市,黄山,B,118
安徽,六安市,六安,B,123
安徽,马鞍山市,马鞍山,B,114
安徽,铜陵市,铜陵,B,116
安徽,芜湖市,芜湖,B,111
安徽,宿州市,宿州,B,121
安徽,宣城市,宣城,B,126
安徽,合肥市,合肥,A,110
北京,北京市,北京,Key,2
福建,龙岩市,龙岩,B,132
福建,南平市,南平,B,131
福建,宁德市,宁德,B,133
福建,莆田市,莆田,B,127
福建,泉州市,泉州,B,129
福建,三明市,三明,B,128
福建,漳州市,漳州,B,130
福建,福州市,福州,A,14
福建,厦门市,厦门,B,15
甘肃,白银市,白银,B,302
甘肃,定西市,定西,B,309
甘肃,甘南藏族自治州,合作市,B,2148
甘肃,嘉峪关市,嘉峪关,B,300
甘肃,金昌市,金昌,B,301
甘肃,酒泉市,酒泉,B,307
甘肃,兰州市,兰州,A,299
甘肃,陇南市,陇南,B,310
甘肃,平凉市,平凉,B,306
甘肃,庆阳市,庆阳,B,308
甘肃,天水市,天水,B,303
甘肃,武威市,武威,B,304
甘肃,张掖市,张掖,B,305
广东,广州市,广州,Key,4
广东,东莞市,东莞,B,219
广东,潮州市,潮州,B,221
广东,揭阳市,揭阳,B,222
广东,汕头市,汕头,B,207
广东,河源市,河源,B,216
广东,梅州市,梅州,B,214
广东,清远市,清远,B,218
广东,韶关市,韶关,B,205
广东,惠州市,惠州,B,213
广东,汕尾市,汕尾,B,215
广东,深圳市,深圳,A,7
广东,佛山市,佛山,B,208
广东,中山市,中山,B,220
广东,珠海市,珠海,B,206
广东,江门市,江门,B,209
广东,云浮市,云浮,B,223
广东,湛江市,湛江,B,210
广东,肇庆市,肇庆,B,212
广东,茂名市,茂名,B,211
广东,阳江市,阳江,B,217
广西,百色市,百色,B,233
广西,北海市,北海,B,228
广西,崇左市,崇左,B,394
广西,防城港市,防城港,B,229
广西,贵港市,贵港,B,231
广西,桂林市,桂林,B,226
广西,河池市,河池,B,235
广西,贺州市,贺州,B,234
广西,来宾市,来宾,B,398
广西,柳州市,柳州,B,225
广西,南宁市,南宁,A,224
广西,钦州市,钦州,B,230
广西,梧州市,梧州,B,227
广西,玉林市,玉林,B,232
贵州,安顺市,安顺,B,261
贵州,六盘水市,六盘水,B,259
贵州,遵义市,遵义,B,260
贵州,贵阳市,贵阳,A,258
海南,海口市,海口,A,23
海南,三亚市,三亚,B,345
河北,保定市,保定,B,29
河北,沧州市,沧州,B,32
河北,承德市,承德,B,31
河北,邯郸市,邯郸,B,27
河北,衡水市,衡水,B,34
河北,廊坊市,廊坊,B,33
河北,秦皇岛市,秦皇岛,B,26
河北,唐山市,唐山,B,25
河北,邢台市,邢台,B,28
河北,张家口市,张家口,B,30
河北,石家庄市,石家庄,A,24
河南,安阳市,安阳,B,164
河南,鹤壁市,鹤壁,B,165
河南,焦作市,焦作,B,167
河南,开封市,开封,B,161
河南,洛阳市,洛阳,B,162
河南,漯河市,漯河,B,170
河南,南阳市,南阳,B,172
河南,平顶山市,平顶山,B,163
河南,濮阳市,濮阳,B,168
河南,三门峡市,三门峡,B,171
河南,商丘市,商丘,B,173
河南,新乡市,新乡,B,166
河南,信阳市,信阳,B,174
河南,许昌市,许昌,B,169
河南,周口市,周口,B,175
河南,驻马店市,驻马店,B,176
河南,郑州市,郑州,A,160
黑龙江,大庆市,大庆,B,84
黑龙江,鹤岗市,鹤岗,B,82
黑龙江,黑河市,黑河,B,89
黑龙江,鸡西市,鸡西,B,81
黑龙江,佳木斯市,佳木斯,B,86
黑龙江,牡丹江市,牡丹江,B,88
黑龙江,七台河市,七台河,B,87
黑龙江,齐齐哈尔市,齐齐哈尔,B,80
黑龙江,双鸭山市,双鸭山,B,83
黑龙江,绥化市,绥化,B,90
黑龙江,伊春市,伊春,B,85
黑龙江,哈尔滨市,哈尔滨,A,79
湖北,鄂州市,鄂州,B,181
湖北,黄冈市,黄冈,B,185
湖北,黄石市,黄石,B,177
湖北,荆门市,荆门,B,182
湖北,荆州市,荆州,B,184
湖北,十堰市,十堰,B,178
湖北,随州市,随州,B,187
湖北,咸宁市,咸宁,B,186
湖北,襄阳市,襄阳,B,180
湖北,孝感市,孝感,B,183
湖北,宜昌市,宜昌,B,179
湖北,武汉市,武汉,A,16
湖南,长沙市,长沙,A,344
湖南,常德市,常德,B,197
湖南,怀化市,怀化,B,202
湖南,娄底市,娄底,B,203
湖南,益阳市,益阳,B,199
湖南,岳阳市,岳阳,B,196
湖南,张家界市,张家界,B,198
湖南,郴州市,郴州,B,200
湖南,衡阳市,衡阳,B,194
湖南,邵阳市,邵阳,B,195
湖南,湘潭市,湘潭,B,193
湖南,永州市,永州,B,201
湖南,株洲市,株洲,B,192
吉林,白城市,白城,B,77
吉林,白山市,白山,B,75
吉林,吉林市,吉林,B,71
吉林,辽源市,辽源,B,73
吉林,四平市,四平,B,72
吉林,松原市,松原,B,76
吉林,通化市,通化,B,74
吉林,长春市,长春,A,70
江苏,常州市,常州,B,93
江苏,泰州市,泰州,B,99
江苏,扬州市,扬州,B,12
江苏,镇江市,镇江,B,98
江苏,淮安市,淮安,B,96
江苏,连云港市,连云港,B,95
江苏,宿迁市,宿迁,B,100
江苏,徐州市,徐州,B,92
江苏,南京市,南京,A,5
江苏,南通市,南通,B,94
江苏,盐城市,盐城,B,97
江苏,苏州市,苏州,B,6
江苏,无锡市,无锡,B,13
江西,抚州市,抚州,B,143
江西,赣州市,赣州,B,140
江西,吉安市,吉安,B,141
江西,景德镇市,景德镇,B,135
江西,九江市,九江,B,137
江西,萍乡市,萍乡,B,136
江西,上饶市,上饶,B,144
江西,新余市,新余,B,138
江西,宜春市,宜春,B,142
江西,鹰潭市,鹰潭,B,139
江西,南昌市,南昌,A,134
辽宁,大连市,大连,A,19
辽宁,鞍山市,鞍山,B,58
辽宁,本溪市,本溪,B,60
辽宁,朝阳市,朝阳,B,68
辽宁,丹东市,丹东,B,61
辽宁,抚顺市,抚顺,B,59
辽宁,阜新市,阜新,B,64
辽宁,葫芦岛市,葫芦岛,B,69
辽宁,锦州市,锦州,B,62
辽宁,辽阳市,辽阳,B,65
辽宁,盘锦市,盘锦,B,66
辽宁,铁岭市,铁岭,B,67
辽宁,营口市,营口,B,63
辽宁,沈阳市,沈阳,A,18
内蒙古,呼伦贝尔市,呼伦贝尔,B,52
内蒙古,通辽市,通辽,B,50
内蒙古,赤峰市,赤峰,B,49
内蒙古,巴彦淖尔市,巴彦淖尔,B,56
内蒙古,包头市,包头,B,47
内蒙古,鄂尔多斯市,鄂尔多斯,B,51
内蒙古,呼和浩特市,呼和浩特,A,46
内蒙古,乌海市,乌海,B,48
内蒙古,乌兰察布市,乌兰察布,B,55
宁夏,固原市,固原,B,324
宁夏,石嘴山市,石嘴山,B,322
宁夏,吴忠市,吴忠,B,323
宁夏,银川市,银川,A,321
宁夏,中卫市,中卫,B,351
青海,西宁市,西宁,A,313
山东,济南市,济南,A,22
山东,青岛市,青岛,A,21
山东,威海市,威海,B,152
山东,潍坊市,潍坊,B,149
山东,烟台市,烟台,B,148
山东,滨州市,滨州,B,158
山东,德州市,德州,B,156
山东,东营市,东营,B,147
山东,菏泽市,菏泽,B,159
山东,济宁市,济宁,B,150
山东,莱芜市,莱芜,B,154
山东,聊城市,聊城,B,157
山东,临沂市,临沂,B,155
山东,日照市,日照,B,153
山东,泰安市,泰安,B,151
山东,枣庄市,枣庄,B,146
山东,淄博市,淄博,B,145
山西,大同市,大同,B,36
山西,晋城市,晋城,B,39
山西,晋中市,晋中,B,41
山西,临汾市,临汾,B,44
山西,吕梁市,吕梁,B,45
山西,朔州市,朔州,B,40
山西,忻州市,忻州,B,43
山西,阳泉市,阳泉,B,37
山西,运城市,运城,B,42
山西,长治市,长治,B,38
山西,太原市,太原,A,35
陕西,安康市,安康,B,297
陕西,宝鸡市,宝鸡,B,291
陕西,汉中市,汉中,B,295
陕西,商洛市,商洛,B,298
陕西,铜川市,铜川,B,290
陕西,渭南市,渭南,B,293
陕西,咸阳市,咸阳,B,292
陕西,延安市,延安,B,294
陕西,榆林市,榆林,B,296
陕西,西安市,西安,A,17
上海,上海市,上海,Key,1
四川,成都市,成都,Key,8
四川,达州市,达州,B,251
四川,广安市,广安,B,250
四川,南充市,南充,B,247
