,city_id,keyword,dianping_shop_id,shop_title,stars,shop_url,state
0,8,“ºµ„“º’®º¶∫∫±§,98741015,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/98741015/review,
1,13,“ºµ„“º’®º¶∫∫±§,107756370,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/107756370/review,
2,22,“ºµ„“º’®º¶∫∫±§,110836105,“º¸c“º∫∫±§’®º¶,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/110836105/review,
3,22,“ºµ„“º’®º¶∫∫±§,93224948,“ºµ„“º°§’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/93224948/review,
4,22,“ºµ„“º’®º¶∫∫±§,97692898,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/97692898/review,
5,26,“ºµ„“º’®º¶∫∫±§,107755771,“ºµ„“º∫∫±§’®º¶,◊ºÀƒ–«…Ãªß,http://www.dianping.com/shop/107755771#comment,
6,27,“ºµ„“º’®º¶∫∫±§,110255778,“ºµ„“º∫∫±§’®º¶,◊ºÀƒ–«…Ãªß,http://www.dianping.com/shop/110255778#comment,
7,27,“ºµ„“º’®º¶∫∫±§,125074712,“º¸c“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/125074712/review,
8,28,“ºµ„“º’®º¶∫∫±§,93271493,“ºµ„“º∫∫±§’®º¶,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/93271493/review,
9,46,“ºµ„“º’®º¶∫∫±§,104620779,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/104620779/review,
10,58,“ºµ„“º’®º¶∫∫±§,127152649,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/127152649/review,
11,69,“ºµ„“º’®º¶∫∫±§,107769639,“ºµ„“º∫∫±§’®º¶,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/107769639/review,
12,100,“ºµ„“º’®º¶∫∫±§,124160772,“º¸c“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/124160772/review,
13,121,“ºµ„“º’®º¶∫∫±§,122878227,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/122878227/review,
14,146,“ºµ„“º’®º¶∫∫±§,99226724,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/99226724/review,
15,150,“ºµ„“º’®º¶∫∫±§,128111219,“ºµ„“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/128111219/review,
16,155,“ºµ„“º’®º¶∫∫±§,122221368,“º¸c“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/122221368#comment,
17,160,“ºµ„“º’®º¶∫∫±§,110651539,“ºµ„“º∫∫±§’®º¶,◊ºÀƒ–«…Ãªß,http://www.dianping.com/shop/110651539/review,
18,209,“ºµ„“º’®º¶∫∫±§,108310779,“º¸c“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/108310779/review,
19,267,“ºµ„“º’®º¶∫∫±§,107753359,“º¸c“º∫∫±§’®º¶,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/107753359/review,–™“µ/πÿ±’
20,293,“ºµ„“º’®º¶∫∫±§,97048925,“º¸c“º’®º¶∫∫±§,∏√…Ãªß‘›Œﬁ–«º∂,http://www.dianping.com/shop/97048925#comment,
