,city_id,keyword,dianping_shop_id,shop_title,stars,shop_url,state
0,1,好乐迪,125769518,好乐迪音乐火锅,准四星商户,http://www.dianping.com/shop/125769518#comment,
1,3,好乐迪,62877456,好乐迪酒吧,该商户暂无星级,http://www.dianping.com/shop/62877456/review,
2,19,好乐迪,68064342,好乐迪快餐店,准四星商户,http://www.dianping.com/shop/68064342#comment,
3,26,好乐迪,67698212,好乐迪,三星商户,http://www.dianping.com/shop/67698212#comment,
4,56,好乐迪,90518191,好乐迪KTV,该商户暂无星级,http://www.dianping.com/shop/90518191/review,
5,88,好乐迪,80415538,好乐迪酒店,该商户暂无星级,http://www.dianping.com/shop/80415538/review,
6,99,好乐迪,95871206,皇茶(好乐迪店),该商户暂无星级,http://www.dianping.com/shop/95871206/review,
7,101,好乐迪,9496227,好乐迪农家乐,该商户暂无星级,http://www.dianping.com/shop/9496227/review,
8,233,好乐迪,100413638,好乐迪烤鱼,该商户暂无星级,http://www.dianping.com/shop/100413638/review,
9,296,好乐迪,68143549,好乐迪KTV,该商户暂无星级,http://www.dianping.com/shop/68143549/review,
10,301,好乐迪,44048936,好乐迪音乐吧,准四星商户,http://www.dianping.com/shop/44048936#comment,
11,305,好乐迪,13456843,好乐迪酒吧,该商户暂无星级,http://www.dianping.com/shop/13456843/review,
12,344,好乐迪,83454213,好乐迪零食(贺龙店),该商户暂无星级,http://www.dianping.com/shop/83454213/review,
