,city_id,keyword,dianping_shop_id,shop_title,stars,shop_url,state
0,7,有意思汉堡,95191066,有意思汉堡魅力茶吧(鹤州店),该商户暂无星级,http://www.dianping.com/shop/95191066/review,
1,7,有意思汉堡,96631718,有意思炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/96631718/review,
2,9,有意思汉堡,8707490,有意思,准四星商户,http://www.dianping.com/shop/8707490#comment,
3,17,有意思汉堡,66806549,sugarman espresso素饮·糖人,五星商户,http://www.dianping.com/shop/66806549#comment,
4,92,有意思汉堡,9643955,有意思休闲餐厅(江苏睢宁店),三星商户,http://www.dianping.com/shop/9643955#comment,
5,96,有意思汉堡,23626795,UES有意思复合式餐厅(城中花园店),准四星商户,http://www.dianping.com/shop/23626795#comment,
6,96,有意思汉堡,58197970,有意思(二店),三星商户,http://www.dianping.com/shop/58197970#comment,
7,97,有意思汉堡,22981521,有意思奶茶汉堡店,准四星商户,http://www.dianping.com/shop/22981521#comment,
8,102,有意思汉堡,9819981,有意思,准四星商户,http://www.dianping.com/shop/9819981#comment,
9,104,有意思汉堡,17997293,有意思(东旺广场店),准四星商户,http://www.dianping.com/shop/17997293#comment,
10,109,有意思汉堡,9616912,有意思(壶镇店),准四星商户,http://www.dianping.com/shop/9616912#comment,
11,109,有意思汉堡,9611073,有意思复合休闲餐厅,准四星商户,http://www.dianping.com/shop/9611073#comment,
12,111,有意思汉堡,9332579,有意思,三星商户,http://www.dianping.com/shop/9332579#comment,
13,113,有意思汉堡,32582147,艾比客,准四星商户,http://www.dianping.com/shop/32582147#comment,
14,114,有意思汉堡,2674729,有意思(鼓楼街店),三星商户,http://www.dianping.com/shop/2674729#comment,
15,114,有意思汉堡,9643384,有意思(提署路店),准四星商户,http://www.dianping.com/shop/9643384#comment,
16,115,有意思汉堡,9365057,有意思休闲餐厅(步行街店),三星商户,http://www.dianping.com/shop/9365057#comment,
17,115,有意思汉堡,19582063,有意思休闲餐厅(濉溪店),准四星商户,http://www.dianping.com/shop/19582063#comment,
18,117,有意思汉堡,48600464,有意思休闲餐厅(宿松二店),准四星商户,http://www.dianping.com/shop/48600464#comment,
19,117,有意思汉堡,9506660,有意思,准四星商户,http://www.dianping.com/shop/9506660#comment,
20,120,有意思汉堡,9407011,有意思(健康路店),准四星商户,http://www.dianping.com/shop/9407011#comment,
21,121,有意思汉堡,10641992,有意思休闲餐厅(安徽萧县店),三星商户,http://www.dianping.com/shop/10641992#comment,
22,126,有意思汉堡,69551341,有意思中西餐厅(山门北路店),该商户暂无星级,http://www.dianping.com/shop/69551341/review,
23,148,有意思汉堡,5535881,有意思休闲餐厅,准四星商户,http://www.dianping.com/shop/5535881#comment,
24,172,有意思汉堡,9910301,有意思休闲餐厅(河南方城店),三星商户,http://www.dianping.com/shop/9910301#comment,
25,172,有意思汉堡,8854830,有意思餐饮厅,准四星商户,http://www.dianping.com/shop/8854830#comment,
26,173,有意思汉堡,22253484,有意思休闲餐厅(宁陵店),三星商户,http://www.dianping.com/shop/22253484#comment,
27,173,有意思汉堡,91985603,有意思吃喝吧(汉堡鸡排盖饭),该商户暂无星级,http://www.dianping.com/shop/91985603/review,
28,174,有意思汉堡,24895953,有意思西餐厅(息县店),准四星商户,http://www.dianping.com/shop/24895953#comment,
29,176,有意思汉堡,17611666,有意思复合连锁休闲餐厅(西平店),准四星商户,http://www.dianping.com/shop/17611666#comment,
30,176,有意思汉堡,10558593,有意思复合式中西餐厅(爱家店),准四星商户,http://www.dianping.com/shop/10558593#comment,
31,176,有意思汉堡,93404151,有意思咖啡厅,三星商户,http://www.dianping.com/shop/93404151#comment,
32,176,有意思汉堡,57167679,有意思休闲餐厅(上蔡旗舰店),准四星商户,http://www.dianping.com/shop/57167679#comment,
33,176,有意思汉堡,17572476,有意思复合式连锁休闲餐厅(一店),准四星商户,http://www.dianping.com/shop/17572476#comment,
34,176,有意思汉堡,33579262,有意思复合式连锁休闲餐厅(二店),准四星商户,http://www.dianping.com/shop/33579262#comment,
35,176,有意思汉堡,21554561,有意思休闲餐厅(河南新蔡一店),准四星商户,http://www.dianping.com/shop/21554561#comment,
36,176,有意思汉堡,41032930,新乐园,准四星商户,http://www.dianping.com/shop/41032930#comment,
37,179,有意思汉堡,15119193,有意思休闲餐厅,准四星商户,http://www.dianping.com/shop/15119193#comment,
38,182,有意思汉堡,17572472,有意思复合式连锁休闲餐厅,准四星商户,http://www.dianping.com/shop/17572472#comment,
39,185,有意思汉堡,8827023,有意思复合式连锁休闲餐厅(朝圣路店),三星商户,http://www.dianping.com/shop/8827023#comment,
40,185,有意思汉堡,57676384,有意思复合式连锁休闲餐厅(罗田店),准四星商户,http://www.dianping.com/shop/57676384#comment,
41,307,有意思汉堡,24895861,有意思复合式连锁休闲餐厅,准四星商户,http://www.dianping.com/shop/24895861#comment,
