,city_id,keyword,dianping_shop_id,shop_title,stars,shop_url,state
0,1,百利家炸鸡,102065869,Pelicana百利家乐韩国炸鸡(龙茗路店),四星商户,http://www.dianping.com/shop/102065869#comment,
1,1,百利家炸鸡,90584426,百利家乐pelicana韩式料理炸鸡(维璟广场店),准五星商户,http://www.dianping.com/shop/90584426#comment,
2,1,百利家炸鸡,56586542,百利家乐pelicana(九亭店),准四星商户,http://www.dianping.com/shop/56586542#comment,
3,4,百利家炸鸡,18148075,Pelicana百利家炸鸡(北京路店),准四星商户,http://www.dianping.com/shop/18148075#comment,
4,4,百利家炸鸡,98879776,Pelicana百利家炸鸡(花都广百新一城店),准四星商户,http://www.dianping.com/shop/98879776#comment,
5,4,百利家炸鸡,19276441,Pelicana百利家炸鸡(正佳广场店),四星商户,http://www.dianping.com/shop/19276441#comment,
6,4,百利家炸鸡,113190875,Pelicana百利家炸鸡(从化欣荣宏店),准四星商户,http://www.dianping.com/shop/113190875#comment,
7,4,百利家炸鸡,79640590,Pelicana百利家炸鸡(新天地店),准四星商户,http://www.dianping.com/shop/79640590#comment,
8,4,百利家炸鸡,32406614,Pelicana百利家炸鸡(江南西名店城店),准四星商户,http://www.dianping.com/shop/32406614#comment,
9,4,百利家炸鸡,56854976,Pelicana百利家炸鸡(高德置地店),四星商户,http://www.dianping.com/shop/56854976#comment,
10,7,百利家炸鸡,44182510,Pelicana百利家炸鸡(深圳海岸城店),四星商户,http://www.dianping.com/shop/44182510#comment,
11,7,百利家炸鸡,96404021,Pelicana 百利家(壹方城店),四星商户,http://www.dianping.com/shop/96404021#comment,
12,10,百利家炸鸡,76846245,百利家,准四星商户,http://www.dianping.com/shop/76846245#comment,
13,16,百利家炸鸡,90961243,Pelicana百利家炸鸡(m+购物中心店),四星商户,http://www.dianping.com/shop/90961243#comment,
14,39,百利家炸鸡,67869881,百利家乐炸鸡啤酒,该商户暂无星级,http://www.dianping.com/shop/67869881/review,
15,74,百利家炸鸡,83094962,百利家啤酒炸鸡,该商户暂无星级,http://www.dianping.com/shop/83094962/review,
16,99,百利家炸鸡,22179748,Pelicana百利家乐,四星商户,http://www.dianping.com/shop/22179748#comment,
17,101,百利家炸鸡,97657248,pelicana百利家乐炸鸡(银泰百货店),该商户暂无星级,http://www.dianping.com/shop/97657248#comment,歇业/关闭
18,104,百利家炸鸡,127940658,百利家乐·啤酒炸鸡,该商户暂无星级,http://www.dianping.com/shop/127940658/review,
19,111,百利家炸鸡,125337459,Pelicana百利家炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/125337459/review,
20,206,百利家炸鸡,95991966,Pelicana百利家炸鸡(香洲店),准四星商户,http://www.dianping.com/shop/95991966#comment,
21,208,百利家炸鸡,59399454,Pelicana百利家炸鸡(岭南站店),四星商户,http://www.dianping.com/shop/59399454#comment,
22,208,百利家炸鸡,43902295,Pelicana百利家炸鸡(佛山创意园店),四星商户,http://www.dianping.com/shop/43902295#comment,
23,208,百利家炸鸡,98406169,Pelicana百利家炸鸡(环宇城店),准四星商户,http://www.dianping.com/shop/98406169#comment,
24,208,百利家炸鸡,114473860,百利家韩国炸鸡(NOVA岭南站店),该商户暂无星级,http://www.dianping.com/shop/114473860/review,歇业/关闭
25,219,百利家炸鸡,48310213,Pelicana百利家炸鸡(东城万达店),四星商户,http://www.dianping.com/shop/48310213#comment,
