city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
bj,东城,安定门, 120 ,http://bj.lianjia.com/xiaoqu/andingmen/
bj,东城,安贞, 50 ,http://bj.lianjia.com/xiaoqu/anzhen1/
bj,东城,朝阳门外, 64 ,http://bj.lianjia.com/xiaoqu/chaoyangmenwai1/
bj,东城,朝阳门内, 50 ,http://bj.lianjia.com/xiaoqu/chaoyangmennei1/
bj,东城,崇文门, 104 ,http://bj.lianjia.com/xiaoqu/chongwenmen/
bj,东城,东单, 26 ,http://bj.lianjia.com/xiaoqu/dongdan/
bj,东城,东直门, 118 ,http://bj.lianjia.com/xiaoqu/dongzhimen/
bj,东城,地安门, 113 ,http://bj.lianjia.com/xiaoqu/dianmen/
bj,东城,东花市, 23 ,http://bj.lianjia.com/xiaoqu/donghuashi/
bj,东城,东四, 147 ,http://bj.lianjia.com/xiaoqu/dongsi1/
bj,东城,灯市口, 69 ,http://bj.lianjia.com/xiaoqu/dengshikou/
bj,东城,广渠门, 52 ,http://bj.lianjia.com/xiaoqu/guangqumen/
bj,东城,工体, 38 ,http://bj.lianjia.com/xiaoqu/gongti/
bj,东城,和平里, 76 ,http://bj.lianjia.com/xiaoqu/hepingli/
bj,东城,交道口, 33 ,http://bj.lianjia.com/xiaoqu/jiaodaokou/
bj,东城,建国门外, 58 ,http://bj.lianjia.com/xiaoqu/jianguomenwai/
bj,东城,建国门内, 54 ,http://bj.lianjia.com/xiaoqu/jianguomennei/
bj,东城,金宝街, 31 ,http://bj.lianjia.com/xiaoqu/jinbaojie/
bj,东城,六铺炕, 90 ,http://bj.lianjia.com/xiaoqu/liupukang/
bj,东城,蒲黄榆, 30 ,http://bj.lianjia.com/xiaoqu/puhuangyu/
bj,东城,前门, 15 ,http://bj.lianjia.com/xiaoqu/qianmen/
bj,东城,陶然亭, 150 ,http://bj.lianjia.com/xiaoqu/taoranting1/
bj,东城,天坛, 47 ,http://bj.lianjia.com/xiaoqu/tiantan/
