city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
fz,永泰县,None, 1 ,http://fz.lianjia.com/xiaoqu/yongtaixian/,2019-03-11
fz,长乐市,平潭县,0,http://fz.lianjia.com/xiaoqu/pingtanxian1/,2019-03-11
fz,罗源县,罗源县,0,http://fz.lianjia.com/xiaoqu/luoyuanxian1/,2019-03-11
fz,闽侯县,福州高新区,18,http://fz.lianjia.com/xiaoqu/fuzhougaoxinqu/,2019-03-11
fz,闽侯县,甘蔗,25,http://fz.lianjia.com/xiaoqu/ganzhe/,2019-03-11
fz,闽侯县,荆溪,5,http://fz.lianjia.com/xiaoqu/jingxi/,2019-03-11
fz,闽侯县,罗源县,0,http://fz.lianjia.com/xiaoqu/luoyuanxian1/,2019-03-11
fz,闽侯县,闽侯大学城,10,http://fz.lianjia.com/xiaoqu/minhoudaxuecheng/,2019-03-11
fz,闽侯县,南屿,18,http://fz.lianjia.com/xiaoqu/nanyu/,2019-03-11
fz,闽侯县,上街,40,http://fz.lianjia.com/xiaoqu/shangjie/,2019-03-11
fz,平潭县,平潭县,0,http://fz.lianjia.com/xiaoqu/pingtanxian1/,2019-03-11
fz,连江县,连江县,49,http://fz.lianjia.com/xiaoqu/lianjiangxian1/,2019-03-11
fz,连江县,罗源县,0,http://fz.lianjia.com/xiaoqu/luoyuanxian1/,2019-03-11
fz,闽清县,None, 0 ,http://fz.lianjia.com/xiaoqu/minqingxian/,2019-03-11
fz,福清市,平潭县,0,http://fz.lianjia.com/xiaoqu/pingtanxian1/,2019-03-11
fz,鼓楼区,东街口,31,http://fz.lianjia.com/xiaoqu/dongjiekou/,2019-03-11
fz,鼓楼区,大儒世家,36,http://fz.lianjia.com/xiaoqu/darushijia/,2019-03-11
fz,鼓楼区,火车站,88,http://fz.lianjia.com/xiaoqu/huochezhan11/,2019-03-11
fz,鼓楼区,省政府,103,http://fz.lianjia.com/xiaoqu/shengzhengfu1/,2019-03-11
fz,鼓楼区,三坊七巷,100,http://fz.lianjia.com/xiaoqu/sanfangqixiang/,2019-03-11
fz,鼓楼区,省体湖前,59,http://fz.lianjia.com/xiaoqu/shengtihuqian/,2019-03-11
fz,鼓楼区,铜盘路（软件园）,44,http://fz.lianjia.com/xiaoqu/tongpanluruanjianyuan/,2019-03-11
fz,鼓楼区,乌山路,41,http://fz.lianjia.com/xiaoqu/wushanlu/,2019-03-11
fz,鼓楼区,五四路（温泉公园）,35,http://fz.lianjia.com/xiaoqu/wusiluwenquangongyuan/,2019-03-11
fz,鼓楼区,五一广场,84,http://fz.lianjia.com/xiaoqu/wuyiguangchang2/,2019-03-11
fz,鼓楼区,万宝商圈,53,http://fz.lianjia.com/xiaoqu/wanbaoshangquan/,2019-03-11
fz,鼓楼区,西江滨,76,http://fz.lianjia.com/xiaoqu/xijiangbin/,2019-03-11
fz,鼓楼区,左海西湖,89,http://fz.lianjia.com/xiaoqu/zuohaixihu/,2019-03-11
fz,台江区,北江滨CBD,0,http://fz.lianjia.com/xiaoqu/beijiangbincbd/,2019-03-11
fz,台江区,茶亭,66,http://fz.lianjia.com/xiaoqu/chating/,2019-03-11
fz,台江区,光明港,34,http://fz.lianjia.com/xiaoqu/guangminggang/,2019-03-11
fz,台江区,上下杭城,33,http://fz.lianjia.com/xiaoqu/shangxiahangcheng/,2019-03-11
fz,台江区,台江排尾,10,http://fz.lianjia.com/xiaoqu/taijiangpaiwei/,2019-03-11
fz,台江区,台江万达,14,http://fz.lianjia.com/xiaoqu/taijiangwanda/,2019-03-11
fz,台江区,五一广场,84,http://fz.lianjia.com/xiaoqu/wuyiguangchang2/,2019-03-11
fz,台江区,万宝商圈,53,http://fz.lianjia.com/xiaoqu/wanbaoshangquan/,2019-03-11
fz,台江区,瀛洲红星,27,http://fz.lianjia.com/xiaoqu/yingzhouhongxing/,2019-03-11
fz,台江区,中亭街（元洪城）,92,http://fz.lianjia.com/xiaoqu/zhongtingjieyuanhongcheng/,2019-03-11
fz,晋安区,东二环（塔头路）,66,http://fz.lianjia.com/xiaoqu/dongerhuantatoulu/,2019-03-11
fz,晋安区,福新路,53,http://fz.lianjia.com/xiaoqu/fuxinlu/,2019-03-11
fz,晋安区,福马路,38,http://fz.lianjia.com/xiaoqu/fumalu/,2019-03-11
fz,晋安区,鼓山新东区,31,http://fz.lianjia.com/xiaoqu/gushanxindongqu/,2019-03-11
fz,晋安区,国货路,31,http://fz.lianjia.com/xiaoqu/guohuolu/,2019-03-11
fz,晋安区,火车站,88,http://fz.lianjia.com/xiaoqu/huochezhan11/,2019-03-11
fz,晋安区,连江县,49,http://fz.lianjia.com/xiaoqu/lianjiangxian1/,2019-03-11
fz,晋安区,罗源县,0,http://fz.lianjia.com/xiaoqu/luoyuanxian1/,2019-03-11
fz,晋安区,省体湖前,59,http://fz.lianjia.com/xiaoqu/shengtihuqian/,2019-03-11
fz,晋安区,五四北,101,http://fz.lianjia.com/xiaoqu/wusibei/,2019-03-11
fz,晋安区,王庄,42,http://fz.lianjia.com/xiaoqu/wangzhuang1/,2019-03-11
fz,晋安区,新店,71,http://fz.lianjia.com/xiaoqu/xindian1/,2019-03-11
fz,马尾区,江滨东大道(快安）,27,http://fz.lianjia.com/xiaoqu/jiangbindongdadaokuaian/,2019-03-11
fz,马尾区,马尾市区,36,http://fz.lianjia.com/xiaoqu/maweishiqu/,2019-03-11
fz,仓山区,白湖亭,3,http://fz.lianjia.com/xiaoqu/baihuting/,2019-03-11
fz,仓山区,仓山步行街,0,http://fz.lianjia.com/xiaoqu/cangshanbuxingjie/,2019-03-11
fz,仓山区,火车南站,13,http://fz.lianjia.com/xiaoqu/huochenanzhan1/,2019-03-11
fz,仓山区,金山奥体,32,http://fz.lianjia.com/xiaoqu/jinshanaoti/,2019-03-11
fz,仓山区,金山大道,35,http://fz.lianjia.com/xiaoqu/jinshandadao/,2019-03-11
fz,仓山区,金山公园,33,http://fz.lianjia.com/xiaoqu/jinshangongyuan/,2019-03-11
fz,仓山区,闽江大道,25,http://fz.lianjia.com/xiaoqu/minjiangdadao/,2019-03-11
fz,仓山区,南江滨,27,http://fz.lianjia.com/xiaoqu/nanjiangbin/,2019-03-11
fz,仓山区,浦上大道（金山万达）,42,http://fz.lianjia.com/xiaoqu/pushangdadaojinshanwanda/,2019-03-11
fz,仓山区,榕城广场,29,http://fz.lianjia.com/xiaoqu/rongchengguangchang/,2019-03-11
fz,仓山区,三叉街,55,http://fz.lianjia.com/xiaoqu/sanchajie/,2019-03-11
fz,仓山区,首山路（师大）,57,http://fz.lianjia.com/xiaoqu/shoushanlushida/,2019-03-11
