city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
gy,云岩区,啊哈湖,9,http://gy.lianjia.com/xiaoqu/ahahu/,2019-03-11
gy,云岩区,奥体中心,12,http://gy.lianjia.com/xiaoqu/aotizhongxin3/,2019-03-11
gy,云岩区,保利温泉,24,http://gy.lianjia.com/xiaoqu/baoliwenquan/,2019-03-11
gy,云岩区,长岭破,2108,http://gy.lianjia.com/xiaoqu/changlingpo/,2019-03-11
gy,云岩区,蔡家关,1,http://gy.lianjia.com/xiaoqu/caijiaguan/,2019-03-11
gy,云岩区,大西门,99,http://gy.lianjia.com/xiaoqu/daximen/,2019-03-11
gy,云岩区,大营坡,39,http://gy.lianjia.com/xiaoqu/dayingpo/,2019-03-11
gy,云岩区,二桥,14,http://gy.lianjia.com/xiaoqu/erqiao/,2019-03-11
gy,云岩区,高新区,14,http://gy.lianjia.com/xiaoqu/gaoxinqu10/,2019-03-11
gy,云岩区,贵阳北站,19,http://gy.lianjia.com/xiaoqu/guiyangbeizhan/,2019-03-11
gy,云岩区,贵阳普天,13,http://gy.lianjia.com/xiaoqu/guiyangputian/,2019-03-11
gy,云岩区,花果园,114,http://gy.lianjia.com/xiaoqu/huaguoyuan/,2019-03-11
gy,云岩区,火车东站,11,http://gy.lianjia.com/xiaoqu/huochedongzhan3/,2019-03-11
gy,云岩区,鹿冲关,6,http://gy.lianjia.com/xiaoqu/luchongguan/,2019-03-11
gy,云岩区,喷水池,225,http://gy.lianjia.com/xiaoqu/penshuichi/,2019-03-11
gy,云岩区,蟠桃宫,58,http://gy.lianjia.com/xiaoqu/pantaogong/,2019-03-11
gy,云岩区,黔灵山,39,http://gy.lianjia.com/xiaoqu/qianlingshan/,2019-03-11
gy,云岩区,市北,172,http://gy.lianjia.com/xiaoqu/shibei1/,2019-03-11
gy,云岩区,师大,54,http://gy.lianjia.com/xiaoqu/shida/,2019-03-11
gy,云岩区,世纪城,38,http://gy.lianjia.com/xiaoqu/shijicheng2/,2019-03-11
gy,云岩区,商贸城,1,http://gy.lianjia.com/xiaoqu/shangmaocheng/,2019-03-11
gy,云岩区,三桥,41,http://gy.lianjia.com/xiaoqu/sanqiao/,2019-03-11
gy,云岩区,汤巴关,3,http://gy.lianjia.com/xiaoqu/tangbaguan/,2019-03-11
gy,云岩区,未来方舟,46,http://gy.lianjia.com/xiaoqu/weilaifangzhou/,2019-03-11
gy,云岩区,钻石广场,195,http://gy.lianjia.com/xiaoqu/zuanshiguangchang/,2019-03-11
