city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
hf,包河,包公,136,http://hf.lianjia.com/xiaoqu/baogong/,2019-03-11
hf,包河,常青,60,http://hf.lianjia.com/xiaoqu/changqing1113/,2019-03-11
hf,包河,淝河镇,21,http://hf.lianjia.com/xiaoqu/feihezhen/,2019-03-11
hf,包河,望湖,62,http://hf.lianjia.com/xiaoqu/wanghu/,2019-03-11
hf,包河,芜湖路,133,http://hf.lianjia.com/xiaoqu/wuhulu/,2019-03-11
hf,包河,周谷堆,56,http://hf.lianjia.com/xiaoqu/zhougudui/,2019-03-11
hf,蜀山,长丰,2,http://hf.lianjia.com/xiaoqu/changfeng3/,2019-03-11
hf,蜀山,稻香村,504,http://hf.lianjia.com/xiaoqu/shushan/,2019-03-11
hf,蜀山,肥西,504,http://hf.lianjia.com/xiaoqu/shushan/,2019-03-11
hf,蜀山,琥珀,58,http://hf.lianjia.com/xiaoqu/hupo/,2019-03-11
hf,蜀山,井岗镇,504,http://hf.lianjia.com/xiaoqu/shushan/,2019-03-11
hf,蜀山,南七,72,http://hf.lianjia.com/xiaoqu/nanqi/,2019-03-11
hf,蜀山,南岗镇,6,http://hf.lianjia.com/xiaoqu/nangangzhen/,2019-03-11
hf,蜀山,三里庵,63,http://hf.lianjia.com/xiaoqu/sanlian/,2019-03-11
hf,蜀山,三十岗乡,0,http://hf.lianjia.com/xiaoqu/sanshigangxiang/,2019-03-11
hf,蜀山,五里墩,85,http://hf.lianjia.com/xiaoqu/wulidun/,2019-03-11
hf,蜀山,西园,75,http://hf.lianjia.com/xiaoqu/xiyuan/,2019-03-11
hf,蜀山,新产业园,42,http://hf.lianjia.com/xiaoqu/xinchanyeyuan/,2019-03-11
hf,庐阳,亳州,99,http://hf.lianjia.com/xiaoqu/bozhou/,2019-03-11
hf,庐阳,大杨镇,4,http://hf.lianjia.com/xiaoqu/dayangzhen/,2019-03-11
hf,庐阳,海棠,38,http://hf.lianjia.com/xiaoqu/haitang2/,2019-03-11
hf,庐阳,林店,19,http://hf.lianjia.com/xiaoqu/lindian/,2019-03-11
hf,庐阳,三孝口,243,http://hf.lianjia.com/xiaoqu/sanxiaokou/,2019-03-11
hf,庐阳,双岗,80,http://hf.lianjia.com/xiaoqu/shuanggang1/,2019-03-11
hf,庐阳,四里河,37,http://hf.lianjia.com/xiaoqu/silihe/,2019-03-11
hf,庐阳,森林公园,22,http://hf.lianjia.com/xiaoqu/senlingongyuan/,2019-03-11
hf,庐阳,三十岗乡,0,http://hf.lianjia.com/xiaoqu/sanshigangxiang/,2019-03-11
hf,庐阳,逍遥津,225,http://hf.lianjia.com/xiaoqu/xiaoyaojin/,2019-03-11
hf,庐阳,杏林,74,http://hf.lianjia.com/xiaoqu/xinglin/,2019-03-11
hf,庐阳,杏花村,11,http://hf.lianjia.com/xiaoqu/xinghuacun/,2019-03-11
hf,瑶海,长淮,71,http://hf.lianjia.com/xiaoqu/changhuai/,2019-03-11
hf,瑶海,城东,41,http://hf.lianjia.com/xiaoqu/chengdong2/,2019-03-11
hf,瑶海,大兴镇,24,http://hf.lianjia.com/xiaoqu/daxingzhen/,2019-03-11
hf,瑶海,方庙,17,http://hf.lianjia.com/xiaoqu/fangmiao/,2019-03-11
hf,瑶海,和平路,52,http://hf.lianjia.com/xiaoqu/hepinglu/,2019-03-11
hf,瑶海,红光,17,http://hf.lianjia.com/xiaoqu/hongguang1/,2019-03-11
hf,瑶海,嘉山路,32,http://hf.lianjia.com/xiaoqu/jiashanlu/,2019-03-11
hf,瑶海,龙岗,72,http://hf.lianjia.com/xiaoqu/longgang1/,2019-03-11
hf,瑶海,明光路,32,http://hf.lianjia.com/xiaoqu/mingguanglu/,2019-03-11
hf,瑶海,七里站,31,http://hf.lianjia.com/xiaoqu/qilizhan/,2019-03-11
hf,瑶海,胜利路,63,http://hf.lianjia.com/xiaoqu/shenglilu1/,2019-03-11
hf,瑶海,三里街,77,http://hf.lianjia.com/xiaoqu/sanlijie/,2019-03-11
hf,瑶海,铜陵路,53,http://hf.lianjia.com/xiaoqu/tonglinglu/,2019-03-11
hf,政务,笔架山,35,http://hf.lianjia.com/xiaoqu/bijiashan1/,2019-03-11
hf,政务,荷叶地,62,http://hf.lianjia.com/xiaoqu/heyedi/,2019-03-11
hf,政务,兴园,26,http://hf.lianjia.com/xiaoqu/xingyuan/,2019-03-11
hf,滨湖新区,滨湖世纪,32,http://hf.lianjia.com/xiaoqu/binhushiji/,2019-03-11
hf,滨湖新区,大圩镇,1,http://hf.lianjia.com/xiaoqu/daxuzhen/,2019-03-11
hf,滨湖新区,方兴,26,http://hf.lianjia.com/xiaoqu/fangxing/,2019-03-11
hf,滨湖新区,工业园,50,http://hf.lianjia.com/xiaoqu/gongyeyuan1/,2019-03-11
hf,滨湖新区,环湖CBD,39,http://hf.lianjia.com/xiaoqu/huanhucbd/,2019-03-11
hf,滨湖新区,骆岗,3,http://hf.lianjia.com/xiaoqu/luogang1/,2019-03-11
hf,滨湖新区,烟墩,27,http://hf.lianjia.com/xiaoqu/yandun/,2019-03-11
hf,滨湖新区,义城,1,http://hf.lianjia.com/xiaoqu/yicheng/,2019-03-11
hf,经开,芙蓉,64,http://hf.lianjia.com/xiaoqu/furong1/,2019-03-11
hf,经开,海恒,23,http://hf.lianjia.com/xiaoqu/haiheng/,2019-03-11
hf,经开,锦绣,22,http://hf.lianjia.com/xiaoqu/jinxiu1/,2019-03-11
hf,经开,莲花,51,http://hf.lianjia.com/xiaoqu/lianhua3/,2019-03-11
hf,经开,临湖,17,http://hf.lianjia.com/xiaoqu/linhu1/,2019-03-11
hf,高新,长宁,26,http://hf.lianjia.com/xiaoqu/changning1/,2019-03-11
hf,高新,南岗镇,6,http://hf.lianjia.com/xiaoqu/nangangzhen/,2019-03-11
hf,高新,蜀麓,21,http://hf.lianjia.com/xiaoqu/shulu/,2019-03-11
hf,高新,天乐,44,http://hf.lianjia.com/xiaoqu/tianle/,2019-03-11
hf,高新,兴园,26,http://hf.lianjia.com/xiaoqu/xingyuan/,2019-03-11
hf,高新,小庙镇,0,http://hf.lianjia.com/xiaoqu/xiaomiaozhen/,2019-03-11
hf,新站,东站,13,http://hf.lianjia.com/xiaoqu/dongzhan1/,2019-03-11
hf,新站,磨店,10,http://hf.lianjia.com/xiaoqu/modian/,2019-03-11
hf,新站,七里塘,77,http://hf.lianjia.com/xiaoqu/qilitang/,2019-03-11
hf,新站,三十头,2,http://hf.lianjia.com/xiaoqu/sanshitou/,2019-03-11
hf,新站,站北,8,http://hf.lianjia.com/xiaoqu/zhanbei/,2019-03-11
hf,肥东,肥东,72,http://hf.lianjia.com/xiaoqu/feidong1/,2019-03-11
hf,肥西,柏堰,6,http://hf.lianjia.com/xiaoqu/baiyan/,2019-03-11
hf,肥西,长安,5,http://hf.lianjia.com/xiaoqu/changan3/,2019-03-11
hf,肥西,长岗,0,http://hf.lianjia.com/xiaoqu/changgang/,2019-03-11
hf,肥西,肥西,51,http://hf.lianjia.com/xiaoqu/feixi1/,2019-03-11
hf,肥西,繁华新园,5,http://hf.lianjia.com/xiaoqu/fanhuaxinyuan/,2019-03-11
hf,肥西,翡翠,5,http://hf.lianjia.com/xiaoqu/feicui/,2019-03-11
hf,肥西,古城,1,http://hf.lianjia.com/xiaoqu/gucheng1/,2019-03-11
hf,肥西,黄小,7,http://hf.lianjia.com/xiaoqu/huangxiao/,2019-03-11
hf,肥西,染坊,7,http://hf.lianjia.com/xiaoqu/ranfang/,2019-03-11
hf,肥西,桃花工业园,20,http://hf.lianjia.com/xiaoqu/taohuagongyeyuan/,2019-03-11
hf,肥西,新港,22,http://hf.lianjia.com/xiaoqu/xingang2/,2019-03-11
hf,长丰,北城,101,http://hf.lianjia.com/xiaoqu/beicheng/,2019-03-11
hf,长丰,长丰,2,http://hf.lianjia.com/xiaoqu/changfeng3/,2019-03-11
hf,长丰,三十岗乡,0,http://hf.lianjia.com/xiaoqu/sanshigangxiang/,2019-03-11
