city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
hz,西湖,翠苑, 62 ,http://hz.lianjia.com/xiaoqu/cuiyuan/
hz,西湖,古荡, 46 ,http://hz.lianjia.com/xiaoqu/gudang/
hz,西湖,黄龙, 120 ,http://hz.lianjia.com/xiaoqu/huanglong/
hz,西湖,嘉绿, 1035 ,http://hz.lianjia.com/xiaoqu/xihu/
hz,西湖,九莲, 33 ,http://hz.lianjia.com/xiaoqu/jiulian/
hz,西湖,留下, 6 ,http://hz.lianjia.com/xiaoqu/liuxia1/
hz,西湖,良渚, 78 ,http://hz.lianjia.com/xiaoqu/liangzhu/
hz,西湖,清波, 81 ,http://hz.lianjia.com/xiaoqu/qingbo/
hz,西湖,三墩, 96 ,http://hz.lianjia.com/xiaoqu/sandun/
hz,西湖,申花, 103 ,http://hz.lianjia.com/xiaoqu/shenhua/
hz,西湖,文三, 55 ,http://hz.lianjia.com/xiaoqu/wensan/
hz,西湖,文三西路, 96 ,http://hz.lianjia.com/xiaoqu/wensanxilu/
hz,西湖,文一西路, 73 ,http://hz.lianjia.com/xiaoqu/wenyixilu/
hz,西湖,文教, 159 ,http://hz.lianjia.com/xiaoqu/wenjiao/
hz,西湖,西湖景区, 17 ,http://hz.lianjia.com/xiaoqu/xihujingqu/
hz,西湖,学军, 47 ,http://hz.lianjia.com/xiaoqu/xuejun/
hz,西湖,小和山, 25 ,http://hz.lianjia.com/xiaoqu/xiaoheshan/
hz,西湖,西溪, 106 ,http://hz.lianjia.com/xiaoqu/xixi/
hz,西湖,转塘, 46 ,http://hz.lianjia.com/xiaoqu/zhuantang/
hz,西湖,之江, 33 ,http://hz.lianjia.com/xiaoqu/zhijiang/
hz,下城,半山, 45 ,http://hz.lianjia.com/xiaoqu/banshan/
hz,下城,长庆, 39 ,http://hz.lianjia.com/xiaoqu/changqing1112/
hz,下城,朝晖, 64 ,http://hz.lianjia.com/xiaoqu/chaohui/
hz,下城,潮鸣, 79 ,http://hz.lianjia.com/xiaoqu/chaoming11/
hz,下城,德胜东, 17 ,http://hz.lianjia.com/xiaoqu/deshengdong/
hz,下城,和平, 18 ,http://hz.lianjia.com/xiaoqu/heping2/
hz,下城,黄龙, 120 ,http://hz.lianjia.com/xiaoqu/huanglong/
hz,下城,建国北路, 46 ,http://hz.lianjia.com/xiaoqu/jianguobeilu/
hz,下城,流水苑, 49 ,http://hz.lianjia.com/xiaoqu/liushuiyuan/
hz,下城,石桥, 45 ,http://hz.lianjia.com/xiaoqu/shiqiao/
hz,下城,三里亭, 58 ,http://hz.lianjia.com/xiaoqu/sanliting/
hz,下城,丝绸城, 14 ,http://hz.lianjia.com/xiaoqu/sichoucheng1/
hz,下城,三塘, 81 ,http://hz.lianjia.com/xiaoqu/santang/
hz,下城,体育场路, 14 ,http://hz.lianjia.com/xiaoqu/tiyuchanglu/
hz,下城,天水, 61 ,http://hz.lianjia.com/xiaoqu/tianshui1/
hz,下城,武林, 69 ,http://hz.lianjia.com/xiaoqu/wulin11/
hz,下城,西湖景区, 17 ,http://hz.lianjia.com/xiaoqu/xihujingqu/
hz,下城,众安桥, 42 ,http://hz.lianjia.com/xiaoqu/zhonganqiao/
hz,江干,半山, 45 ,http://hz.lianjia.com/xiaoqu/banshan/
hz,江干,采荷, 54 ,http://hz.lianjia.com/xiaoqu/caihe1/
hz,江干,城东新城, 22 ,http://hz.lianjia.com/xiaoqu/chengdongxincheng/
hz,江干,丁桥, 64 ,http://hz.lianjia.com/xiaoqu/dingqiao/
hz,江干,大学城北, 10 ,http://hz.lianjia.com/xiaoqu/daxuechengbei/
hz,江干,高教园区东, 13 ,http://hz.lianjia.com/xiaoqu/gaojiaoyuanqudong/
hz,江干,高教园区西, 28 ,http://hz.lianjia.com/xiaoqu/gaojiaoyuanquxi/
hz,江干,工业园北, 13 ,http://hz.lianjia.com/xiaoqu/gongyeyuanbei/
hz,江干,工业园南, 10 ,http://hz.lianjia.com/xiaoqu/gongyeyuannan/
hz,江干,华家池, 21 ,http://hz.lianjia.com/xiaoqu/huajiachi/
hz,江干,火车东站, 30 ,http://hz.lianjia.com/xiaoqu/huochedongzhan/
hz,江干,海宁, 2 ,http://hz.lianjia.com/xiaoqu/haining/
hz,江干,建国北路, 46 ,http://hz.lianjia.com/xiaoqu/jianguobeilu/
hz,江干,笕桥, 20 ,http://hz.lianjia.com/xiaoqu/jianqiao/
hz,江干,景芳, 48 ,http://hz.lianjia.com/xiaoqu/jingfang1/
hz,江干,金沙湖, 47 ,http://hz.lianjia.com/xiaoqu/jinshahu/
hz,江干,九堡, 89 ,http://hz.lianjia.com/xiaoqu/jiubao/
hz,江干,流水苑, 49 ,http://hz.lianjia.com/xiaoqu/liushuiyuan/
hz,江干,南肖埠, 43 ,http://hz.lianjia.com/xiaoqu/nanxiaobu/
hz,江干,钱江新城, 51 ,http://hz.lianjia.com/xiaoqu/qianjiangxincheng/
hz,江干,石桥, 45 ,http://hz.lianjia.com/xiaoqu/shiqiao/
hz,江干,三里亭, 58 ,http://hz.lianjia.com/xiaoqu/sanliting/
hz,江干,三塘, 81 ,http://hz.lianjia.com/xiaoqu/santang/
hz,江干,四季青, 59 ,http://hz.lianjia.com/xiaoqu/sijiqing1/
hz,江干,沿江北, 14 ,http://hz.lianjia.com/xiaoqu/yanjiangbei/
hz,江干,沿江南, 16 ,http://hz.lianjia.com/xiaoqu/yanjiangnan/
hz,江干,闸弄口, 33 ,http://hz.lianjia.com/xiaoqu/zhanongkou/
hz,拱墅,半山, 45 ,http://hz.lianjia.com/xiaoqu/banshan/
hz,拱墅,大关, 51 ,http://hz.lianjia.com/xiaoqu/daguan/
hz,拱墅,德胜, 21 ,http://hz.lianjia.com/xiaoqu/desheng/
hz,拱墅,丁桥, 64 ,http://hz.lianjia.com/xiaoqu/dingqiao/
hz,拱墅,拱宸桥, 56 ,http://hz.lianjia.com/xiaoqu/gongchenqiao/
hz,拱墅,勾庄, 18 ,http://hz.lianjia.com/xiaoqu/gouzhuang/
hz,拱墅,和睦, 46 ,http://hz.lianjia.com/xiaoqu/hemu/
hz,拱墅,湖墅, 92 ,http://hz.lianjia.com/xiaoqu/hushu1/
hz,拱墅,桥西, 52 ,http://hz.lianjia.com/xiaoqu/qiaoxi1/
hz,拱墅,石桥, 45 ,http://hz.lianjia.com/xiaoqu/shiqiao/
hz,拱墅,三塘, 81 ,http://hz.lianjia.com/xiaoqu/santang/
hz,拱墅,三墩, 96 ,http://hz.lianjia.com/xiaoqu/sandun/
hz,拱墅,申花, 103 ,http://hz.lianjia.com/xiaoqu/shenhua/
hz,拱墅,万达广场, 27 ,http://hz.lianjia.com/xiaoqu/wandaguangchang2/
hz,拱墅,信义坊, 66 ,http://hz.lianjia.com/xiaoqu/xinyifang/
hz,上城,城站, 38 ,http://hz.lianjia.com/xiaoqu/chengzhan/
hz,上城,潮鸣, 79 ,http://hz.lianjia.com/xiaoqu/chaoming11/
hz,上城,复兴, 30 ,http://hz.lianjia.com/xiaoqu/fuxing/
hz,上城,鼓楼, 74 ,http://hz.lianjia.com/xiaoqu/gulou2/
hz,上城,湖滨, 110 ,http://hz.lianjia.com/xiaoqu/hubin1/
hz,上城,近江, 47 ,http://hz.lianjia.com/xiaoqu/jinjiang1/
hz,上城,南星, 33 ,http://hz.lianjia.com/xiaoqu/nanxing/
hz,上城,清波, 81 ,http://hz.lianjia.com/xiaoqu/qingbo/
hz,上城,清泰, 57 ,http://hz.lianjia.com/xiaoqu/qingtai/
hz,上城,四季青, 59 ,http://hz.lianjia.com/xiaoqu/sijiqing1/
hz,上城,望江, 13 ,http://hz.lianjia.com/xiaoqu/wangjiang/
hz,上城,西湖景区, 17 ,http://hz.lianjia.com/xiaoqu/xihujingqu/
hz,上城,雄镇楼, 33 ,http://hz.lianjia.com/xiaoqu/xiongzhenlou/
hz,滨江,奥体, 13 ,http://hz.lianjia.com/xiaoqu/aoti/
hz,滨江,白马湖, 17 ,http://hz.lianjia.com/xiaoqu/baimahu/
hz,滨江,滨江区政府, 77 ,http://hz.lianjia.com/xiaoqu/binjiangquzhengfu/
hz,滨江,彩虹城, 49 ,http://hz.lianjia.com/xiaoqu/caihongcheng/
hz,滨江,长河, 49 ,http://hz.lianjia.com/xiaoqu/changhe/
hz,滨江,浦沿, 46 ,http://hz.lianjia.com/xiaoqu/puyan/
hz,滨江,闻堰, 21 ,http://hz.lianjia.com/xiaoqu/wenyan/
hz,滨江,西兴, 37 ,http://hz.lianjia.com/xiaoqu/xixing/
hz,余杭,半山, 45 ,http://hz.lianjia.com/xiaoqu/banshan/
hz,余杭,崇贤, 29 ,http://hz.lianjia.com/xiaoqu/chongxian/
hz,余杭,翡翠城, 35 ,http://hz.lianjia.com/xiaoqu/feicuicheng1/
hz,余杭,勾庄, 18 ,http://hz.lianjia.com/xiaoqu/gouzhuang/
hz,余杭,工业园北, 13 ,http://hz.lianjia.com/xiaoqu/gongyeyuanbei/
hz,余杭,九堡, 89 ,http://hz.lianjia.com/xiaoqu/jiubao/
hz,余杭,临安, 203 ,http://hz.lianjia.com/xiaoqu/linan1/
hz,余杭,留下, 6 ,http://hz.lianjia.com/xiaoqu/liuxia1/
hz,余杭,临平, 325 ,http://hz.lianjia.com/xiaoqu/linping/
hz,余杭,良渚, 78 ,http://hz.lianjia.com/xiaoqu/liangzhu/
hz,余杭,瓶窑, 30 ,http://hz.lianjia.com/xiaoqu/pingyao/
hz,余杭,乔司, 30 ,http://hz.lianjia.com/xiaoqu/qiaosi/
hz,余杭,仁和, 15 ,http://hz.lianjia.com/xiaoqu/renhe2/
hz,余杭,三墩, 96 ,http://hz.lianjia.com/xiaoqu/sandun/
hz,余杭,塘栖, 48 ,http://hz.lianjia.com/xiaoqu/tangqi1/
hz,余杭,未来科技城, 141 ,http://hz.lianjia.com/xiaoqu/weilaikejicheng/
hz,余杭,万达广场, 27 ,http://hz.lianjia.com/xiaoqu/wandaguangchang2/
hz,余杭,闲林, 71 ,http://hz.lianjia.com/xiaoqu/xianlin1/
hz,余杭,小和山, 25 ,http://hz.lianjia.com/xiaoqu/xiaoheshan/
hz,余杭,西溪, 106 ,http://hz.lianjia.com/xiaoqu/xixi/
hz,余杭,星桥, 47 ,http://hz.lianjia.com/xiaoqu/xingqiao/
hz,萧山,奥体, 13 ,http://hz.lianjia.com/xiaoqu/aoti/
hz,萧山,白马湖, 17 ,http://hz.lianjia.com/xiaoqu/baimahu/
hz,萧山,大江东, 57 ,http://hz.lianjia.com/xiaoqu/dajiangdong/
hz,萧山,南部卧城, 50 ,http://hz.lianjia.com/xiaoqu/nanbuwocheng/
hz,萧山,浦沿, 46 ,http://hz.lianjia.com/xiaoqu/puyan/
hz,萧山,钱江世纪城, 73 ,http://hz.lianjia.com/xiaoqu/qianjiangshijicheng/
hz,萧山,闻堰, 21 ,http://hz.lianjia.com/xiaoqu/wenyan/
hz,萧山,萧山市区, 285 ,http://hz.lianjia.com/xiaoqu/xiaoshanshiqu/
hz,萧山,萧山开发区, 99 ,http://hz.lianjia.com/xiaoqu/xiaoshankaifaqu/
hz,萧山,湘湖, 51 ,http://hz.lianjia.com/xiaoqu/xianghu/
hz,萧山,西兴, 37 ,http://hz.lianjia.com/xiaoqu/xixing/
hz,萧山,萧山新城区, 93 ,http://hz.lianjia.com/xiaoqu/xiaoshanxinchengqu/
hz,萧山,义桥, 16 ,http://hz.lianjia.com/xiaoqu/yiqiao/
hz,桐庐,桐庐, 33 ,http://hz.lianjia.com/xiaoqu/tonglushangquan/
hz,淳安,淳安, 36 ,http://hz.lianjia.com/xiaoqu/chunan/
hz,建德,建德, 15 ,http://hz.lianjia.com/xiaoqu/jiande1/
hz,富阳,富阳, 170 ,http://hz.lianjia.com/xiaoqu/fuyang1/
hz,富阳,未来科技城, 141 ,http://hz.lianjia.com/xiaoqu/weilaikejicheng/
hz,富阳,西湖景区, 17 ,http://hz.lianjia.com/xiaoqu/xihujingqu/
hz,富阳,转塘, 46 ,http://hz.lianjia.com/xiaoqu/zhuantang/
hz,临安,临安, 203 ,http://hz.lianjia.com/xiaoqu/linan1/
hz,临安,未来科技城, 141 ,http://hz.lianjia.com/xiaoqu/weilaikejicheng/
hz,下沙,None, 0 ,http://hz.lianjia.com/xiaoqu/xiasha/
hz,大江东,大江东, 57 ,http://hz.lianjia.com/xiaoqu/dajiangdong/
hz,大江东,海宁, 2 ,http://hz.lianjia.com/xiaoqu/haining/
