city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
sh,浦东,北蔡, 325 ,http://sh.lianjia.com/xiaoqu/beicai/
sh,浦东,碧云, 39 ,http://sh.lianjia.com/xiaoqu/biyun/
sh,浦东,曹路, 91 ,http://sh.lianjia.com/xiaoqu/caolu/
sh,浦东,川沙, 449 ,http://sh.lianjia.com/xiaoqu/chuansha/
sh,浦东,大团镇, 41 ,http://sh.lianjia.com/xiaoqu/datuanzhen/
sh,浦东,合庆, 72 ,http://sh.lianjia.com/xiaoqu/geqing/
sh,浦东,高行, 99 ,http://sh.lianjia.com/xiaoqu/gaohang/
sh,浦东,高东, 68 ,http://sh.lianjia.com/xiaoqu/gaodong/
sh,浦东,花木, 142 ,http://sh.lianjia.com/xiaoqu/huamu/
sh,浦东,航头, 97 ,http://sh.lianjia.com/xiaoqu/hangtou/
sh,浦东,惠南, 334 ,http://sh.lianjia.com/xiaoqu/huinan/
sh,浦东,金桥, 440 ,http://sh.lianjia.com/xiaoqu/jinqiao/
sh,浦东,金杨, 5324 ,http://sh.lianjia.com/xiaoqu/pudong/
sh,浦东,康桥, 135 ,http://sh.lianjia.com/xiaoqu/kangqiao/
sh,浦东,陆家嘴, 186 ,http://sh.lianjia.com/xiaoqu/lujiazui/
sh,浦东,老港镇, 8 ,http://sh.lianjia.com/xiaoqu/laogangzhen/
sh,浦东,临港新城, 60 ,http://sh.lianjia.com/xiaoqu/lingangxincheng/
sh,浦东,联洋, 49 ,http://sh.lianjia.com/xiaoqu/lianyang/
sh,浦东,泥城镇, 73 ,http://sh.lianjia.com/xiaoqu/nichengzhen/
sh,浦东,南码头, 5324 ,http://sh.lianjia.com/xiaoqu/pudong/
sh,浦东,三林, 435 ,http://sh.lianjia.com/xiaoqu/sanlin/
sh,浦东,世博, 211 ,http://sh.lianjia.com/xiaoqu/shibo/
sh,浦东,书院镇, 21 ,http://sh.lianjia.com/xiaoqu/shuyuanzhen/
sh,浦东,塘桥, 115 ,http://sh.lianjia.com/xiaoqu/tangqiao/
sh,浦东,唐镇, 106 ,http://sh.lianjia.com/xiaoqu/tangzhen/
sh,浦东,外高桥, 187 ,http://sh.lianjia.com/xiaoqu/waigaoqiao/
sh,浦东,万祥镇, 19 ,http://sh.lianjia.com/xiaoqu/wanxiangzhen/
sh,浦东,潍坊, 86 ,http://sh.lianjia.com/xiaoqu/weifang/
