city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
zh,香洲区,翠微,20,http://zh.lianjia.com/xiaoqu/cuiwei/,2019-03-11
zh,香洲区,拱北,84,http://zh.lianjia.com/xiaoqu/gongbei1/,2019-03-11
zh,香洲区,洪湾,3,http://zh.lianjia.com/xiaoqu/hongwan/,2019-03-11
zh,香洲区,横琴,8,http://zh.lianjia.com/xiaoqu/hengqin/,2019-03-11
zh,香洲区,吉大,124,http://zh.lianjia.com/xiaoqu/jida/,2019-03-11
zh,香洲区,老香洲,121,http://zh.lianjia.com/xiaoqu/laoxiangzhou/,2019-03-11
zh,香洲区,兰埔,34,http://zh.lianjia.com/xiaoqu/lanpu/,2019-03-11
zh,香洲区,南屏,20,http://zh.lianjia.com/xiaoqu/nanping1/,2019-03-11
zh,香洲区,南湾,26,http://zh.lianjia.com/xiaoqu/nanwan/,2019-03-11
zh,香洲区,柠溪,65,http://zh.lianjia.com/xiaoqu/ningxi/,2019-03-11
zh,香洲区,前山,103,http://zh.lianjia.com/xiaoqu/qianshan/,2019-03-11
zh,香洲区,上冲,23,http://zh.lianjia.com/xiaoqu/shangchong/,2019-03-11
zh,香洲区,唐家湾镇,41,http://zh.lianjia.com/xiaoqu/tangjiawanzhen/,2019-03-11
zh,香洲区,湾仔,6,http://zh.lianjia.com/xiaoqu/wanzai/,2019-03-11
zh,香洲区,新香洲,164,http://zh.lianjia.com/xiaoqu/xinxiangzhou/,2019-03-11
zh,香洲区,夏湾,53,http://zh.lianjia.com/xiaoqu/xiawan/,2019-03-11
zh,金湾区,红旗镇,60,http://zh.lianjia.com/xiaoqu/hongqizhen/,2019-03-11
zh,金湾区,南水镇,2,http://zh.lianjia.com/xiaoqu/nanshuizhen/,2019-03-11
zh,金湾区,平沙镇,4,http://zh.lianjia.com/xiaoqu/pingshazhen/,2019-03-11
zh,金湾区,三灶镇,13,http://zh.lianjia.com/xiaoqu/sanzaozhen/,2019-03-11
zh,斗门区,白蕉镇,79,http://zh.lianjia.com/xiaoqu/baiqiaozhen/,2019-03-11
zh,斗门区,井岸镇,132,http://zh.lianjia.com/xiaoqu/jinganzhen/,2019-03-11
zh,斗门区,乾务镇,2,http://zh.lianjia.com/xiaoqu/qianwuzhen/,2019-03-11
zh,斗门区,五山镇,0,http://zh.lianjia.com/xiaoqu/wushanzhen/,2019-03-11
