city,chengjiao_href,chengjiao_title,area_sqm,total_selling_price,total_deal_price,unit_deal_price,deal_date,post_to_deal_days,facing,huxing,floor,furbishing,elevator,year
sh,https://sh.lianjia.com/chengjiao/107100659343.html,中远两湾城 3室2厅 126.9平米,126.9,820.0,790.0,62254.0,2019-01-23,126,东南,3室2厅,低楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100469627.html,中远两湾城 1室2厅 76.71平米,76.71,500.0,467.6,60957.0,2019-01-15,184,东南,1室2厅,低楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100719220.html,中远两湾城 2室2厅 96.14平米,96.14,640.0,640.0,66570.0,2019-01-10,89,南,2室2厅,中楼层(共34层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100563196.html,中远两湾城 1室2厅 64.35平米,64.35,520.0,505.0,78478.0,2019-01-06,141,南,1室2厅,低楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100919090.html,中远两湾城 2室2厅 97.96平米,97.96,700.0,690.0,70437.0,2019-01-05,9,东南,2室2厅,高楼层(共30层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100509208.html,中远两湾城 2室2厅 97.41平米,97.41,680.0,658.0,67550.0,2018-12-24,147,南,2室2厅,低楼层(共31层),精装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107100744427.html,中远两湾城 1室2厅 67.38平米,67.38,505.0,491.0,72871.0,2018-12-23,63,南,1室2厅,中楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100732511.html,中远两湾城 3室2厅 131.43平米,131.43,760.0,730.0,55543.0,2018-12-20,64,西南,3室2厅,低楼层(共34层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100672477.html,中远两湾城 1室2厅 73平米,73.0,555.0,510.0,69864.0,2018-12-17,84,南,1室2厅,中楼层(共33层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100649480.html,中远两湾城 1室2厅 63.14平米,63.14,500.0,495.0,78398.0,2018-12-17,92,西南,1室2厅,中楼层(共34层),精装,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107100405677.html,中远两湾城 3室2厅 129.64平米,129.64,800.0,775.0,59781.0,2018-12-15,175,南,3室2厅,中楼层(共34层),精装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107100835025.html,中远两湾城 2室2厅 99.43平米,99.43,670.0,660.0,66379.0,2018-12-15,22,东南,2室2厅,中楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100749093.html,中远两湾城 1室2厅 64.48平米,64.48,490.0,450.0,69790.0,2018-12-04,42,南,1室2厅,高楼层(共32层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100777022.html,中远两湾城 2室2厅 102.04平米,102.04,680.0,660.0,64681.0,2018-11-30,29,南,2室2厅,中楼层(共32层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100613747.html,中远两湾城 3室2厅 135.09平米,135.09,930.0,860.0,63662.0,2018-11-19,76,南,3室2厅,低楼层(共30层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100712766.html,中远两湾城 3室2厅 132.23平米,132.23,810.0,750.0,56720.0,2018-11-12,33,南,3室2厅,低楼层(共32层),精装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107100731058.html,中远两湾城 3室2厅 111.58平米,111.58,780.0,780.0,69906.0,2018-11-06,20,西南,3室2厅,高楼层(共35层),毛坯,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107100754465.html,中远两湾城 车位 63万,-1.0,63.0,61.6,17783.0,2018-11-05,12,东,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107100713257.html,中远两湾城 车位 60万,-1.0,60.0,59.0,18233.0,2018-10-27,17,南,车位,地下室(共9层),毛坯,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000137243.html,中远两湾城 2室2厅 111.15平米,111.15,680.0,670.0,60279.0,2018-10-25,369,南,2室2厅,中楼层(共34层),简装,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107100123579.html,中远两湾城 3室2厅 119.02平米,119.02,850.0,790.0,66376.0,2018-10-23,216,东南,3室2厅,中楼层(共35层),精装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107100708699.html,中远两湾城 2室2厅 108.94平米,108.94,760.0,746.0,68479.0,2018-10-22,12,南北,2室2厅,高楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100603497.html,中远两湾城 2室2厅 101.99平米,101.99,700.0,669.6,65654.0,2018-10-14,43,南,2室2厅,高楼层(共33层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107000182851.html,中远两湾城 2室2厅 107.23平米,107.23,665.0,640.0,59685.0,2018-10-09,314,南,2室2厅,低楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100362421.html,中远两湾城 车位 53万,-1.0,53.0,53.0,18189.0,2018-10-08,122,南,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107100571142.html,中远两湾城 2室2厅 118.4平米,118.4,768.0,745.0,62923.0,2018-10-04,44,南,2室2厅,高楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100566196.html,中远两湾城 车位,-1.0,63.0,60.0,18542.0,2018-09-28,41,南,车位,地下室(共9层),毛坯,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000105187.html,中远两湾城 3室2厅 130.71平米,130.71,880.0,865.0,66178.0,2018-09-28,278,南,3室2厅,高楼层(共34层),简装,有电梯,2002
