city,chengjiao_href,chengjiao_title,area_sqm,total_selling_price,total_deal_price,unit_deal_price,deal_date,post_to_deal_days,facing,huxing,floor,furbishing,elevator,year
sh,https://sh.lianjia.com/chengjiao/107002001993.html,翠湖天地雅苑 4室2厅 232.86平米,232.86,3260,3100.0,133128.0,2018-08-26,444,南,4室2厅,低楼层(共20层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100077323.html,翠湖天地雅苑 3室2厅 150.71平米,150.71,2300,2160.0,143322.0,2018-07-14,127,南,3室2厅,中楼层(共20层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100044566.html,翠湖天地雅苑 2室2厅 108.19平米,108.19,1600,1550.0,143267.0,2018-04-09,40,南北,2室2厅,中楼层(共12层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000075465.html,翠湖天地雅苑 4室2厅 235.38平米,235.38,2800,3300.0,140199.0,2018-02-26,170,南,4室2厅,高楼层(共20层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000057745.html,翠湖天地雅苑 3室2厅 202.26平米,202.26,2800,2750.0,135964.0,2017-07-24,2025,南,3室2厅,高楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002003875.html,翠湖天地雅苑 2室2厅 104.81平米,104.81,1400,1380.0,131667.0,2017-06-07,1978,南,2室2厅,低楼层(共29层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000102219.html,翠湖天地雅苑 3室2厅 132.22平米,132.22,1850,1770.0,133868.0,2017-04-18,1928,南,3室2厅,低楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010106805.html,翠湖天地雅苑 3室2厅 223.21平米,223.21,2500,2500.0,112003.0,2016-12-08,1798,南,3室2厅,中楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010101782.html,翠湖天地雅苑 3室2厅 129.66平米,129.66,1950,1900.0,146538.0,2016-10-09,1738,南,3室2厅,高楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010092588.html,翠湖天地雅苑 3室2厅 192平米,192.0,1700,1700.0,88542.0,2016-09-12,1711,南,3室2厅,低楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010092482.html,翠湖天地雅苑 3室2厅 204.53平米,204.53,2200,2200.0,107564.0,2016-09-01,1700,南,3室2厅,高楼层(共11层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010075665.html,翠湖天地雅苑 3室2厅 192平米,192.0,2900,1620.0,84375.0,2016-08-27,1695,南,3室2厅,低楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010071864.html,翠湖天地雅苑 2室2厅 116.36平米,116.36,1300,1300.0,111723.0,2016-06-03,1610,南,2室2厅,高楼层(共20层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010074949.html,翠湖天地雅苑 2室2厅 108.19平米,108.19,1600,1200.0,110916.0,2016-05-25,1601,南,2室2厅,中楼层(共12层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010073072.html,翠湖天地雅苑 3室2厅 214.06平米,214.06,2500,2500.0,116790.0,2016-05-14,1590,南,3室2厅,高楼层(共12层),其他,有电梯,2003
