,0,1,2,3,4,5,6
0,1,至尊堡,110448968,至尊堡,该商户暂无星级,http://www.dianping.com/shop/110448968/review,
215,2,至尊堡,96337862,至尊堡,该商户暂无星级,http://www.dianping.com/shop/96337862/review,
216,2,至尊堡,92850001,至尊堡,该商户暂无星级,http://www.dianping.com/shop/92850001/review,
220,2,至尊堡,127536471,至尊汉堡,该商户暂无星级,http://www.dianping.com/shop/127536471/review,
379,3,至尊堡,99144406,至尊堡(庆春路店),该商户暂无星级,http://www.dianping.com/shop/99144406/review,
446,4,至尊堡,21054845,至尊堡餐厅(沙湾店),准四星商户,http://www.dianping.com/shop/21054845#comment,
447,4,至尊堡,5455429,至尊堡海南鸡饭(广大店),准四星商户,http://www.dianping.com/shop/5455429#comment,
448,4,至尊堡,66707800,至尊堡,三星商户,http://www.dianping.com/shop/66707800#comment,
449,4,至尊堡,103879720,至尊堡,三星商户,http://www.dianping.com/shop/103879720#comment,
450,4,至尊堡,102507219,至尊堡·汉堡炸鸡便当(从化店),准四星商户,http://www.dianping.com/shop/102507219#comment,
451,4,至尊堡,103604712,至尊堡(凤华店),该商户暂无星级,http://www.dianping.com/shop/103604712/review,
452,4,至尊堡,96624943,至尊堡,该商户暂无星级,http://www.dianping.com/shop/96624943/review,
453,4,至尊堡,69786904,至尊堡,该商户暂无星级,http://www.dianping.com/shop/69786904/review,
454,4,至尊堡,55140958,至尊堡(广技师店),该商户暂无星级,http://www.dianping.com/shop/55140958/review,
455,4,至尊堡,126508912,至尊堡西式简餐,该商户暂无星级,http://www.dianping.com/shop/126508912/review,
456,4,至尊堡,93507057,至尊堡(豪利花园店),该商户暂无星级,http://www.dianping.com/shop/93507057/review,
457,4,至尊堡,114150101,至尊堡,该商户暂无星级,http://www.dianping.com/shop/114150101/review,
458,5,至尊堡,57976431,至尊堡便当鸡排(义乌店),该商户暂无星级,http://www.dianping.com/shop/57976431/review,
524,6,至尊堡,111514154,至尊堡,该商户暂无星级,http://www.dianping.com/shop/111514154/review,
525,6,至尊堡,104368589,至尊堡&炸鸡,准四星商户,http://www.dianping.com/shop/104368589#comment,
598,7,至尊堡,122873883,至尊堡炸鸡汉堡,准四星商户,http://www.dianping.com/shop/122873883#comment,
599,7,至尊堡,21828401,至尊堡,准四星商户,http://www.dianping.com/shop/21828401#comment,
600,7,至尊堡,65991892,至尊堡(国贸店),准四星商户,http://www.dianping.com/shop/65991892#comment,
601,7,至尊堡,103615939,至尊堡,准四星商户,http://www.dianping.com/shop/103615939#comment,
602,7,至尊堡,102500841,至尊堡(盐田店),准四星商户,http://www.dianping.com/shop/102500841#comment,
603,7,至尊堡,96284982,至尊堡,三星商户,http://www.dianping.com/shop/96284982/review,
604,7,至尊堡,94030523,至尊堡•汉堡炸鸡,准四星商户,http://www.dianping.com/shop/94030523#comment,
605,7,至尊堡,96631917,至尊堡,该商户暂无星级,http://www.dianping.com/shop/96631917/review,
606,7,至尊堡,121871562,至尊堡(龙岗店),该商户暂无星级,http://www.dianping.com/shop/121871562/review,
607,7,至尊堡,98833897,至尊堡,该商户暂无星级,http://www.dianping.com/shop/98833897/review,
608,7,至尊堡,125289678,至尊堡汉堡炸鸡,该商户暂无星级,http://www.dianping.com/shop/125289678/review,
609,7,至尊堡,110496106,至尊堡炸鸡汉堡(盐田店),该商户暂无星级,http://www.dianping.com/shop/110496106/review,
610,7,至尊堡,124764230,至尊堡,该商户暂无星级,http://www.dianping.com/shop/124764230/review,
611,7,至尊堡,123477078,至尊堡(坂田店),该商户暂无星级,http://www.dianping.com/shop/123477078/review,
612,7,至尊堡,125283023,至尊堡炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/125283023/review,
613,7,至尊堡,124745270,至尊堡,该商户暂无星级,http://www.dianping.com/shop/124745270/review,
614,7,至尊堡,123156355,至尊堡炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/123156355/review,
